round_id	candidate_type	candidate_id	feature_name	status	decision	review_action	review_slot	accepted_panel_score	baseline_panel_score	candidate_panel_score	accepted_panel_delta	delta_panel_score	partial_r	selection_score	description	artifact_dir	error
1	seed	ca1-pyramidal-fraction	ca1_pyramidal_fraction	completed	keep	add		0.294		0.294			0.29397628619873717	0.294	Does lower representation of CA1 pyramidal neurons mark donor-level memory decline beyond age, sex, Braak stage, and CERAD burden?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0001/round_0001_worker	
2	candidate	ca1-reactive-astro-fraction	ca1_reactive_astrocyte_lineage_fraction	completed	keep	add		0.5071	0.294	0.5071	0.2131	0.2131	-0.4913864246681738	0.4914	Does CA1-localized reactive astrogliosis provide memory-decline signal that is complementary to the accepted CA1 pyramidal neuron fraction biomarker?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0002/round_0002_worker	
3	candidate	ca1-perineuronal-reactive-astro	ca1_pyramidal_reactive_astro_niche_fraction_80px	completed	keep	add		0.5505	0.5071	0.5505	0.043399999999999994	0.0434	-0.5153688403453583	0.5154	Does memory decline track the extent to which CA1 pyramidal neurons sit inside local reactive-astrocyte niches, beyond overall CA1 neuron and reactive astrocyte fractions?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0003/round_0003_worker	
4	candidate	ca1-peripyramidal-reactive-astro-coverage	ca1_pyramidal_reactive_astro_coverage_60px	completed	keep	add		0.5536	0.5505	0.5536	0.0030999999999999917	0.0031	-0.5176089960436685	0.5176	Does the fraction of surviving CA1 pyramidal neurons that sit within a short perineuronal distance of a reactive astrocyte capture memory decline beyond overall CA1 neuron loss and astrocyte burden?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0004/round_0004_worker	
5	candidate	ca1-pyramidal-reactive-astro-encirclement	uncomputed_feature_placeholder	completed	discard			0.5536			0.0		0.0	0.0	Does the fraction of CA1 pyramidal neurons surrounded by multiple nearby reactive astrocytes capture a stronger memory-decline signal than the current CA1 reactive-astro niche summaries?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0005/round_0005_worker	
6	candidate	ca1-ra-proximal-pyramidal-area	ca1_pyramidal_reactive_astro_proximal_median_log_area_80px	completed	keep	add		0.594	0.5536	0.594	0.04039999999999999	0.0405	-0.042301370125291754	0.0423	Do CA1 pyramidal neurons that sit near reactive astrocytes show donor-level soma area shifts that add degenerative signal beyond the current CA1 composition and niche-coverage panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0006/round_0006_worker	
7	candidate	ca1-ra-proximal-small-pyramidal-fraction	ca1_ra_proximal_small_pyramidal_fraction_q33_r80	completed	keep	add		0.6031	0.594	0.6031	0.009099999999999997	0.0091	0.3287434307926751	0.3287	Does memory decline track a higher burden of morphologically small CA1 pyramidal neurons specifically within the reactive-astrocyte proximal niche, beyond the median-area shift already captured in the panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0007/round_0007_worker	
8	candidate	ca1-ra-small-pyramidal-enrichment	ca1_reactive_astro_proximal_small_pyramidal_enrichment	completed	discard	add		0.6031	0.594	0.5944	0.0	0.0004	0.2140206661241126	0.214	Does enrichment of morphologically small CA1 pyramidal neurons specifically near reactive astrocytes capture a cleaner localized memory-decline signal than the current absolute proximal size features?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0008/round_0008_worker	
9	candidate	ca1-ra-proximal-pyramidal-lower-tail-area	ca1_pyramidal_reactive_astro_proximal_q20_log_area_80px	completed	keep	add		0.6454	0.594	0.6454	0.042300000000000004	0.0514	-0.09937765573899245	0.0994	Does a stronger left-shift in the size distribution of CA1 pyramidal neurons specifically near reactive astrocytes mark worse memory decline beyond the current CA1 reactive-astrocyte niche panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0009/round_0009_worker	
10	candidate	ec-ra-proximal-pyramidal-lower-tail-area	ec_reactive_astro_proximal_pyramidal_lower_tail_area_80px	completed	discard	add		0.6454	0.594	0.6142	0.0	0.0202	0.22694243284798907	0.2205	Does entorhinal cortex reactive-astrocyte-proximal pyramidal neuron lower-tail cell area capture a memory-decline signal that is complementary to the existing CA1-focused panel?	/Volumes/SSK SSD/TissueLab Revision/LFB/Seed48_Split/Training/autoresearch_runs/run_20260420_162449_64fb7a/round_0010/round_0010_worker	
