run,round,status,candidate_id,selected_or_representative_feature,plain_language_definition,partial_r,p_value,train_panel_r_after_round,test_panel_r_after_round,panel_size_after_round,n_variants_in_saved_screen
run_20260420_162449_64fb7a,1,accepted,ca1-pyramidal-fraction,ca1_pyramidal_fraction,CA1 pyramidal neuron fraction,0.29397628619873717,0.0865043209227582,0.2939762861987372,0.379919332064498,1,2
run_20260420_162449_64fb7a,2,accepted,ca1-reactive-astro-fraction,ca1_reactive_astrocyte_lineage_fraction,Reactive Astrocyte / (Astrocyte + Reactive Astrocyte) within CA1,-0.49138642466817395,0.0027206212123134102,0.5071134820208295,0.5330247659754699,2,2
run_20260420_162449_64fb7a,3,accepted,ca1-perineuronal-reactive-astro,ca1_pyramidal_reactive_astro_niche_fraction_80px,CA1 proportion of pyramidal neurons with at least one reactive astrocyte within 80 full-resolution pixels (~40 µm).,-0.5153688403453585,0.0015332941061763313,0.5504976013593442,0.555566279516924,3,2
run_20260420_162449_64fb7a,4,accepted,ca1-peripyramidal-reactive-astro-coverage,ca1_pyramidal_reactive_astro_coverage_60px,Fraction of CA1 pyramidal neurons with >=1 CA1 reactive astrocyte within 60 px.,-0.5176089960436686,0.0014502076507958426,0.5535574932229096,0.5893438201554061,4,2
run_20260420_162449_64fb7a,5,rejected,,timeout_placeholder_not_evaluable,Round failed or timed out; no evaluable biomarker was preserved for this discarded round.,,,0.5535574932229096,0.5893438201554061,4,0
run_20260420_162449_64fb7a,6,accepted,ca1-ra-proximal-pyramidal-area,ca1_pyramidal_reactive_astro_proximal_median_log_area_80px,Median log1p(contour area px^2) of CA1 pyramidal neurons within 80 px of any CA1 reactive astrocyte centroid.,-0.04230137012529175,0.8093400917972754,0.5940293435719856,0.6111200267905873,5,2
run_20260420_162449_64fb7a,7,accepted,ca1-ra-proximal-small-pyramidal-fraction,ca1_ra_proximal_small_pyramidal_fraction_q33_r80,80 px reactive-astrocyte radius; small pyramidal neurons defined below donor CA1 pyramidal area 33rd percentile.,0.32874343079267515,0.05382836539435236,0.6031004024159579,0.6111436147040655,6,2
run_20260420_162449_64fb7a,8,rejected,ca1-ra-small-pyramidal-enrichment,ca1_small_pyramidal_enrichment_q20_80px,"Fraction/enrichment of small CA1 pyramidal neurons near reactive astrocytes within 80 pixels, with small cells defined by the donor-level lower 20th percentile.",0.21402066612411264,,0.6031004024159579,0.6111436147040655,6,2
run_20260420_162449_64fb7a,9,accepted,ca1-ra-proximal-pyramidal-lower-tail-area,ca1_pyramidal_reactive_astro_proximal_q20_log_area_80px,20th percentile of log1p(area) for CA1 pyramidal neurons within 80 px of any CA1 reactive astrocyte.,-0.09937765573899197,0.570046299880305,0.6568781531876018,0.6114222610832746,7,2
run_20260420_162449_64fb7a,10,rejected,ec-ra-proximal-pyramidal-lower-tail-area,ec_reactive_astro_proximal_pyramidal_lower_tail_area_80px,EC reactive-astrocyte-proximal pyramidal lower-tail area with 80 px radius.,0.22694243284798912,,0.6568781531876018,0.6114222610832746,7,2
run_20260420_215745_90b105,1,accepted,ca1-pyramidal-burden,ca1_pyramidal_fraction,CA1 Pyramidal Neuron count divided by all classified CA1 cells.,0.29397628619873717,0.0865043209227582,0.29397628619873717,0.3799193320644981,1,2
run_20260420_215745_90b105,2,accepted,ca1-reactive-astrocyte-enrichment,ca1_reactive_astrocyte_enrichment__reactive_over_astroglial,CA1 Reactive Astrocyte / (Reactive Astrocyte + Astrocyte),-0.49138642466817395,,0.5071134820208294,0.5330247659754701,2,2
run_20260420_215745_90b105,3,accepted,ca1-pyramidal-reactive-niche,ca1_pyramidal_reactive_niche__reactive_over_astroglial_neighbored_pyramidal_fraction_r70px,Fraction of CA1 pyramidal neurons whose local astroglial neighbors within 70 pixels are enriched for reactive astrocytes.,-0.48366175658872934,0.003244548369920403,0.5075671340960017,0.5514909895950764,3,3
run_20260420_215745_90b105,4,accepted,ca1-reactive-astrocyte-hypertrophy,ca1_reactive_astrocyte_hypertrophy__reactive_minus_astrocyte_median_log1p_area_ca1,Baseline CA1 reactive astrocyte hypertrophy contrast: median(log1p(area_px2)) of CA1 Reactive Astrocytes minus median(log1p(area_px2)) of CA1 Astrocytes.,-0.3575527378754102,0.034965074051349375,0.5424970928001858,0.5656925831425842,4,2
run_20260420_215745_90b105,5,accepted,ca1-reactive-astrocyte-microclustering,feature__reactive_minus_astrocyte_microcluster_fraction_r70px_k3,"Reactive astrocyte microcluster fraction minus non-reactive astrocyte microcluster fraction, where a microcluster requires at least 3 same-class neighbors within 70 pixels.",-0.5125051225713363,,0.6581313149459931,0.5684679167639368,5,2
run_20260420_215745_90b105,6,accepted,ca1-pyramidal-hotspot-exposure,feature__candidate_variant_a,CA1 pyramidal fraction exposed to reactive-astrocyte hotspots minus CA1 pyramidal fraction exposed to baseline astrocyte hotspots; hotspot = at least 3 same-label neighbors within 70 px.,-0.5927359235636277,,0.6672839039632176,0.5732277028882313,6,2
run_20260420_215745_90b105,7,accepted,ca1-reactive-hotspot-pyramidal-depletion,ca1_reactive_hotspot_pyramidal_depletion__candidate_variant_b,"Same hotspot definition, but pyramidal neighbors counted within 50 px to focus on immediate pericellular depletion.",-0.05452999771566416,,0.7017489623501568,0.6463068780758794,7,2
run_20260420_215745_90b105,8,accepted,ca1-reactive-hotspot-oligodendrocyte-depletion,ca1_reactive_hotspot_oligodendrocyte_depletion__candidate_variant_b,Same biomarker but with a slightly stricter hotspot threshold k=4 same-type neighbors within 70 px.,0.39757545363231284,,0.7095843482330292,0.6554001237016208,8,2
run_20260420_215745_90b105,9,accepted,ca1-reactive-hotspot-corpora-amylacea-enrichment,ca1_reactive_hotspot_corpora_amylacea_enrichment__reactive_minus_astro_hotspot_local_ca_fraction_r70px_k3,"Reactive-astrocyte hotspot local Corpora Amylacea fraction minus astrocyte hotspot local Corpora Amylacea fraction in CA1, r=70 px, k=3.",-0.2570802846477412,0.13599846198865748,0.7129265091183226,0.6973811445946402,9,2
run_20260420_215745_90b105,10,accepted,ca1-reactive-hotspot-lymphocyte-enrichment,ca1_reactive_hotspot_lymphocyte_enrichment__reactive_minus_astro_hotspot_local_lymphocyte_fraction_r70px_k3,Mean local lymphocyte fraction within 70 px around CA1 reactive-astrocyte hotspots minus the same fraction around matched CA1 astrocyte hotspots; hotspot rule uses >=3 same-class neighbors within 70 px.,0.11446054788678535,0.5619375214365594,0.7484467107464015,0.7146424154168948,10,2
run_20260421_001115_585b70,1,accepted,ca1-reactive-astro-fraction,reactive_astro_fraction_ca1,Reactive Astrocyte / (Astrocyte + Reactive Astrocyte) among CA1-assigned cells.,-0.49138642466817395,0.0027206212123134102,0.49138642466817367,0.4844844831971136,1,2
run_20260421_001115_585b70,2,accepted,ca1-peripyramidal-reactivity,ca1_peripyramidal_reactivity_r35um,Fraction or index of CA1 pyramidal-neuron neighborhoods within 35 um that contain reactive astrocytes.,-0.4941062427089572,0.0025545606608905953,0.49643764543573465,0.4989035463498217,2,2
run_20260421_001115_585b70,3,accepted,ca1-reactive-cuffing,ca1_pyramidal_cuffed_fraction_r35um_ge1,Fraction of CA1 pyramidal neurons with at least 1 reactive astrocyte within 35 um.,-0.5224246288415226,,0.5543656631949597,0.5352648462538887,3,3
