slide_name,ground_truth,TLAgent,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
AI-LNCO2-0002_D_HE,6.406642422928129,5.897212801738453,N/A,N/A,N/A,14.86387,7.55,4500.0,8.9,0.3
AI-LNCO2-0002_E_HE,5.461417508826207,3.979174552194136,N/A,N/A,N/A,15.93819,3.5,3200.0,8.9,N/A
AI-LNCO2-0003_D_HE,7.3389026791684975,4.224950009738606,0.7358351729212655,N/A,N/A,11.38337,7.64,3000.0,10.1,0.5
AI-LNCO2-0004_E_HE,9.392806379251892,7.786471368057593,N/A,N/A,N/A,14.253,4.5,2100.0,10.9,0.25
AI-LNCO2-0005_F_HE,7.036290788921806,2.8418484052666977,N/A,N/A,N/A,17.71891,5.1,2800.0,8.9,0.5
AI-LNCO2-0006_E_HE,17.001410309707445,13.547019304793867,0.14731695155976,N/A,N/A,13.68,5.26,6300.0,5.7,0.5
AI-LNCO2-0007_F_HE,5.903943524046221,4.627742225651608,1.2,N/A,N/A,18.54,5.74,5200.0,7.3,0.5
AI-LNCO2-0007_G_HE,5.097991577046578,4.658597991591765,49.32,N/A,N/A,17.454,4.973,3100.0,8.2,0.5
AI-LNCO2-0007_N_HE,3.414583844252264,3.62320935292076,N/A,N/A,N/A,12.61221,5.48,3300.0,9.2,0.459896983075791
AI-LNCO2-0009_D_HE,5.1314165498220135,6.155049056485995,N/A,N/A,N/A,21.02,4.12,5300.0,11,0.5
AI-LNCO2-0009_E_HE,6.341527696025733,6.569416403097101,4.934492480347362,N/A,0.088,13.98915,6.14,7200.0,7.2,0.675
AI-LNCO2-0009_F_HE,8.276429831576777,7.9180272276231,0.0892626961606172,N/A,N/A,17.75817,5.15,3100.0,7.8,0.5
AI-LNCO2-0009_G_HE,10.47255710214617,9.90502256048607,N/A,N/A,N/A,15.21726,6.28,7200.0,6.8,0.4378
AI-LNCO2-0010_G_HE,7.470763594283135,8.211683160185869,N/A,N/A,N/A,17.65269,3.39,3000.0,8.5,0.5
AI-LNCO2-0011_1E_HE,11.986339159956223,9.709857445255306,N/A,N/A,0.1103,18.60927,7.1,5000.0,10.7,0.5
AI-LNCO2-0013_D_HE,2.393270500966361,2.0239614265006547,0.5,N/A,N/A,7.74834,4.78,5200.0,11.8,0.5
AI-LNCO2-0013_E_HE,2.3748071087224347,3.640741113451245,N/A,N/A,N/A,9.87,3.86,4600.0,5.9,0.5
