slide_name,ground_truth,TLAgent,TLAgent-removing knowledge,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM,NOVA
AI-LNCO2-0002_D_HE,6.406642422928129,5.897212801738453,4.3422,N/A,N/A,N/A,15.17292,5.08,9.6,8.5,0.5,18.54
AI-LNCO2-0002_E_HE,5.461417508826207,3.979174552194136,4.9391,19.43,N/A,N/A,14.687,6.23,3.5,8.5,0.25,18.13
AI-LNCO2-0003_D_HE,7.3389026791684975,4.224950009738606,4.7777,14.717,N/A,N/A,11.40545,6.48,7,8.3,0.5,4.94
AI-LNCO2-0004_E_HE,9.392806379251892,7.786471368057593,6.1389,N/A,N/A,N/A,14.444,3.66,7.2,14,0.5,16.94
AI-LNCO2-0005_F_HE,7.036290788921806,2.8418484052666977,5.4599,N/A,N/A,N/A,17.71891,6.18,5.3,11.8,N/A,21.42
AI-LNCO2-0006_E_HE,17.001410309707445,13.547019304793867,8.2414,N/A,N/A,N/A,N/A,5.37,10.2,7,0.5,18.57
AI-LNCO2-0007_F_HE,5.903943524046221,4.627742225651608,5.6440,0.7358351729212655,N/A,N/A,6.90213,7.175,3.5,8.6,0.5,14.83
AI-LNCO2-0007_G_HE,5.097991577046578,4.658597991591765,4.5093,0.7358351729212655,N/A,N/A,7.60363,6.14,3.9,10.6,0.5,19.54
AI-LNCO2-0007_N_HE,3.414583844252264,3.62320935292076,6.2149,N/A,N/A,N/A,20.65,6.177,2.5,7.2,0.5,11.3
AI-LNCO2-0009_D_HE,5.1314165498220135,6.155049056485995,4.4210,N/A,N/A,N/A,14.54674,2.47,7.5,6.6,1.4116193921213993,20.1
AI-LNCO2-0009_E_HE,6.341527696025733,6.569416403097101,5.1717,0.70581,N/A,0.088,5.84,6.08,2.3,7.7,0.5,17.79
AI-LNCO2-0009_F_HE,8.276429831576777,7.9180272276231,6.4806,7.058,N/A,N/A,17.75111,5.1,2.8,12.6,0.5,20.16
AI-LNCO2-0009_G_HE,10.47255710214617,9.90502256048607,7.7208,N/A,N/A,N/A,20.03,6.0,8.1,8.7,0.0,21.88
AI-LNCO2-0010_G_HE,7.470763594283135,8.211683160185869,6.4650,N/A,N/A,N/A,6.85,5.37,5,8.8,0.5,10.07
AI-LNCO2-0011_1E_HE,11.986339159956223,9.709857445255306,8.2537,N/A,N/A,0.1103,16.843,8.98,4.5,11.1,0.459896983075791,18.65
AI-LNCO2-0013_D_HE,2.393270500966361,2.0239614265006547,3.5010,N/A,N/A,N/A,6.94628,5.52,3.7,11.8,0.25,10.6
AI-LNCO2-0013_E_HE,2.3748071087224347,3.640741113451245,3.2106,10.8,N/A,N/A,N/A,4.673,2.8,8.7,N/A,13.24
AI-LNCO2-0014_E_HE,7.9444549766183075,6.087594226275738,6.1981,N/A,N/A,N/A,N/A,7.1,3.2,10.4,N/A,14.3
AI-LNCO2-0014_F_HE,6.335110076103479,6.354566215925707,4.7793,14.02,N/A,N/A,5.95291,2.059,2.5,8.6,0.5,2.5
AI-LNCO2-0015_D_HE,11.234166176329524,5.777219970547147,6.3214,N/A,N/A,N/A,N/A,14.2,5.2,8.4,0.5,18.56
AI-LNCO2-0015_E_HE,8.690725327833212,3.653834730147973,5.5207,0.7358351729212655,N/A,0.15,13.32597,6.2,2.5,7.1,0.3,18.01
AI-LNCO2-0016_C_HE,10.85970157741869,8.849727823711424,17.8852,N/A,N/A,N/A,1.02661,10.16,1.8,7.4,0.5,36.84
AI-LNCO2-0016_D_HE,16.349956719131686,6.79957689477557,7.3126,N/A,N/A,N/A,16.056,5.78,3.6,9.9,0.5,18.5
AI-LNCO2-0016_E_HE,10.961772204644909,7.72626931567329,5.1853,0.7358351729212655,N/A,N/A,16.762,10.19,2.6,10.9,N/A,18.01
AI-LNCO2-0017_2E_HE,17.94935572951126,11.02040369003259,8.3022,73.583,N/A,N/A,18.13,7.95,2.5,9.4,1.4716703458425313,21.2
AI-LNCO2-0017_2F_HE,15.48843800214992,15.480328212728892,8.2195,N/A,N/A,N/A,1.60412,9.86,4.8,6.4,0.8,7.6
AI-LNCO2-0018_D_HE,2.7166368778709105,1.857164012380274,3.4791,N/A,N/A,N/A,7.70419,9.04,5.1,9.6,0.5,14.08
AI-LNCO2-0018_E_HE,12.360097473835427,12.299385570081132,14.9521,N/A,N/A,N/A,32.10022,16.3,6.5,7.6,N/A,46.15
AI-LNCO2-0018_F_HE,12.333467725694929,6.828708988034488,5.1077,N/A,N/A,N/A,13.20824,5.37,5,11.9,0.839764251,17.38
AI-LNCO2-0018_G_HE,2.8814036339749363,4.42373433039256,4.7527,N/A,N/A,N/A,13.84842,9.27,1.8,8.8,0.5,6.72
AI-LNCO2-0019_C_HE,N/A,17.31124291891336,9.6390,N/A,N/A,N/A,37.94433,10.03,5,5.6,0.5,37.94
AI-LNCO2-0019_D_HE,6.426930052713906,6.089257851739636,5.4649,N/A,N/A,N/A,1.738,3.65,4.4,8.9,0.0,20.89
AI-LNCO2-0019_E_HE,4.256773740396373,4.443264,5.3302,63.56,N/A,N/A,23.05,4.05,6.8,8.4,0.5,22.13
AI-LNCO2-0020_D_HE,7.9381723752367535,6.127558881868513,7.9697,0.0899259061608111,N/A,N/A,19.50699,2.39,4.8,8.3,N/A,18.65
AI-LNCO2-0020_E_HE,11.13433067726779,8.405827518574094,7.0026,N/A,N/A,1.103,16.79176,6.5,1.7,4.3,0.5,18.1
AI-LNCO2-0020_F_HE,13.882047314852551,4.766690043197347,7.2112,N/A,N/A,N/A,18.896,3.52,6,5.4,0.25,20.58
AI-LNCO2-0022_D_HE,4.789996102049846,4.434516637239623,3.4170,N/A,N/A,N/A,15.90876,4.0,5.5,11.3,0.5,1.18
AI-LNCO2-0022_E_HE,4.50264725361166,3.629062683639728,3.8271,5.0,N/A,N/A,17.54967,6.37,4.9,6.7,0.125,25.47
AI-LNCO2-0023_C_HE,32.851287819071686,25.30567448691881,10.2106,N/A,N/A,N/A,29.10759,12.14,15,10.5,0.5,25.83
AI-LNCO2-0024_C_HE,10.546620501917277,10.17969434234281,12.8816,1.41162,N/A,N/A,19.47638,9.34,0.6,10,0.5,27.24
AI-LNCO2-0024_D_HE,7.81115469561837,7.005908282645188,6.0130,N/A,N/A,N/A,12.40618,7.14,4.7,8.5,0.459896983075791,14.41
AI-LNCO2-0024_E_HE,6.805732326140195,7.520941029528056,5.9280,N/A,N/A,N/A,14.67,7.64,3.8,8.3,0.5,6.71
AI-LNCO2-0024_F_HE,9.671906957424069,10.929993709208782,5.7407,N/A,N/A,N/A,16.88,7.249,6.8,8.5,0.5,0.0
AI-LNCO2-0024_G_HE,9.179116713272917,8.674245241804043,5.9125,N/A,N/A,N/A,16.06,7.09,3.3,6.3,0.3,18.54
AI-LNCO2-0026_D_HE,15.125031307891833,7.511763550783752,6.3391,N/A,N/A,N/A,14.0986,5.6,3.7,10,N/A,24.52
AI-LNCO2-0027_D_HE,10.074071658914873,9.46971553906929,5.1508,N/A,N/A,N/A,14.53,4.82,2.5,9,0.25,16.89
AI-LNCO2-0027_E_HE,7.83468749223973,6.447411131610417,8.1725,N/A,N/A,N/A,14.76821,8.1,5.9,4.7,0.5,22.23
AI-LNCO2-0028_D_HE,5.246904541098848,4.168049985842749,6.0092,0.7358351729212655,N/A,N/A,21.64,5.0182,6.2,7.6,0.5,7.95
AI-LNCO2-0028_E_HE,8.075193047284088,7.132015747737857,4.9651,N/A,N/A,N/A,16.74025,5.74,2.7,8.3,N/A,6.83
AI-LNCO2-0029_D_HE,4.5817209877823855,4.017660044150111,5.9331,N/A,N/A,N/A,17.30684,5.52,2.5,4.4,N/A,18.96
AI-LNCO2-0029_E_HE,2.975425032719188,2.4916469862291324,4.6129,5.0,N/A,N/A,13.59088,5.81,7,8.4,0.1,1.884
AI-LNCO2-0030_E_HE,5.440339490904371,5.494772478096372,6.2963,0.035,N/A,N/A,13.517,6.33,2,6.8,0.5,21.2
AI-LNCO2-0030_F_HE,5.187206662963893,3.2576811804530768,5.3096,N/A,N/A,N/A,17.05,6.4,1.5,8.7,0.5,20.13
AI-LNCO2-0030_G_HE,4.480716158854044,3.899704271235729,4.0566,N/A,N/A,N/A,18.50625,6.54,1.7,8.6,0.5,19.5
AI-LNCO2-0031_F_HE,12.595328757667732,4.658597991591765,5.8437,0.7358351729212655,N/A,N/A,15.34,5.445,6.2,8.6,4.0,6.0
AI-LNCO2-0032_F_HE,8.069412971224986,9.576239013977144,5.9238,N/A,N/A,N/A,16.08,7.1,4.9,12.6,0.5,18.44
AI-LNCO2-0033_D_HE,4.080551990289934,5.639647379084442,5.3740,N/A,N/A,N/A,13.922,3.42,0,4.3,0.5,16.1
AI-LNCO2-0033_E_HE,5.294980720728399,4.99711728326383,4.5685,N/A,N/A,N/A,14.216,7.58,2.9,5.2,0.5,14.2
AI-LNCO2-0034_E_HE,10.3550548486158,5.583859404272175,5.9750,N/A,N/A,N/A,3.95,5.432,2.8,8,0.0,20.34
AI-LNCO2-0034_F_HE,9.860758406470053,7.343163132325366,6.3043,N/A,N/A,N/A,N/A,6.48,7.5,6.9,0.5,16.3
AI-LNCO2-0035_C_HE,13.370817660491824,16.256223874297216,12.8038,N/A,N/A,N/A,24.054,6.99,3.1,7.3,0.5,45.1
AI-LNCO2-0035_D_HE,13.766171233820254,8.547301226716161,7.0181,N/A,N/A,N/A,17.79985,5.52,6.8,13.4,0.5,10.1
AI-LNCO2-0035_E_HE,14.71838359725085,12.102922056796444,10.9180,2.8232387842427986,N/A,N/A,34.21765,16.94,10.7,14.6,0.3,18.77
AI-LNCO2-0036_C_HE,N/A,12.064135719988665,15.1788,N/A,N/A,N/A,8.92244,9.601,8.9,8.8,0.4,37.41
AI-LNCO2-0036_D_HE,7.8483451078602595,6.430929992352922,6.4057,0.09,N/A,N/A,17.14,5.54,3.7,8.1,0.5,17.95
AI-LNCO2-0036_E_HE,6.96157887148201,6.9205601187625625,6.8723,N/A,N/A,N/A,N/A,3.75,0,8.2,0.25,5.37
AI-LNCO2-0036_F_HE,7.401064849933592,4.823128734365703,7.3329,N/A,N/A,N/A,16.36,4.85,5.8,11.4,0.5,18.6
AI-LNCO2-0037_C_HE,25.681405866264768,22.93874997021596,13.8167,N/A,N/A,N/A,9.42,18.0,5.5,14.3,N/A,37.94
AI-LNCO2-0037_E_HE,8.368207783592638,6.189594242860846,4.8418,N/A,N/A,N/A,19.17586,3.09,4,10.5,0.5,24.74
AI-LNCO2-0037_F_HE,8.229013518246987,7.416928240459,7.8226,N/A,N/A,N/A,19.06392,6.695,3.74,11.2,0.5,7.51
