slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
1,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
3,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
4,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
5,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
6,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
7,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
8,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
9,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
10,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
13,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
14,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
15,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive
16,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
19,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
21,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
22,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive
23,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
24,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
25,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
26,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Negative,Positive
27,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
28,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
29,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
31,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
32,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive
33,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
34,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Positive
35,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive
36,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
37,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
39,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive
40,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive
43,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive
