slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4
1,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
3,Positive,Positive,Positive,Positive,N/A,Positive,Positive,Positive,Negative
4,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
5,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive
6,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
7,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
8,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
9,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
10,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
13,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
14,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
15,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Positive
16,Positive,Positive,Negative,Positive,N/A,Negative,Positive,Positive,Negative
19,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
21,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
22,Positive,Positive,Negative,Positive,N/A,Positive,Positive,Positive,Negative
23,Positive,Positive,Positive,Positive,N/A,Negative,Positive,Positive,Negative
24,Positive,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
25,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative
26,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
27,Positive,Positive,Positive,Positive,N/A,Positive,Positive,Positive,Negative
28,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Negative
29,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative
31,Positive,Positive,Positive,Positive,N/A,Positive,Positive,Positive,Negative
32,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
33,Negative,Negative,Negative,Positive,N/A,Positive,Positive,Positive,Negative
34,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
35,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative
36,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative
37,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative
39,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Negative
40,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Negative
43,Negative,Negative,Negative,Positive,N/A,Negative,Positive,Positive,Negative
