slide_name,ground_truth,TLAgent,LLaVA-Med,M3D,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM
SCD0002501,Hypertrophy,Hypertrophy,Normal,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0002601,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0002701,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0002801,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Hypertrophy,Hypertrophy,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0002901,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0003001,Hypertrophy,Hypertrophy,N/A,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0003101,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0003201,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,Hypertrophy,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003301,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003401,Hypertrophy,N/A,Hypertrophy,Normal,Normal,Hypertrophy,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003501,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003601,Hypertrophy,Hypertrophy,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0003701,Normal,Normal,Hypertrophy,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003801,Normal,Normal,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0003901,Normal,N/A,N/A,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0004001,Normal,Normal,Normal,Normal,Normal,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0004101,Normal,Normal,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0004201,Normal,Normal,Hypertrophy,Normal,Normal,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0004301,Normal,Hypertrophy,Hypertrophy,Normal,Hypertrophy,Hypertrophy,Hypertrophy,N/A,Hypertrophy,Hypertrophy
SCD0004401,Normal,Hypertrophy,Hypertrophy,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Normal,Hypertrophy
SCD0004501,Normal,Hypertrophy,N/A,Normal,Hypertrophy,N/A,Hypertrophy,N/A,Hypertrophy,Hypertrophy
