run,round,config_name,loo_r,is_r,gap,adjusted,f1_loo,qwk_loo
1,1,minimal_ratio__PLS_2,0.304,,0.111,0.3044,0.177,0.083
1,1,minimal_ratio__Ridge_a1,0.303,,0.113,0.3028,0.177,0.083
1,1,minimal_ratio__ElasticNet,0.284,,0.131,0.2838,0.232,0.095
1,1,minimal_ratio__Ridge_a10,0.283,,0.132,0.2829,0.232,0.095
1,1,ratio_focused__PLS_2,0.300,,0.218,0.2658,0.382,0.231
1,1,ratio_focused__Ridge_a1,0.289,,0.233,0.2471,0.382,0.231
1,1,top2__Ridge_a1,0.254,,0.166,0.2456,0.195,0.087
1,1,top2__PLS_2,0.253,,0.167,0.2442,0.177,0.083
1,1,top2__Ridge_a10,0.251,,0.164,0.2439,0.213,0.091
1,1,all_features__PLS_2,0.295,,0.262,0.2389,0.330,0.214
1,1,gland_plus_tumor__PLS_2,0.275,,0.244,0.2277,0.311,0.154
1,1,top2__ElasticNet,0.240,,0.177,0.2262,0.213,0.091
1,1,ratio_focused__Ridge_a10,0.264,,0.251,0.2134,0.213,0.000
1,1,gland_only__Ridge_a1,0.238,,0.228,0.1991,0.213,0.091
1,1,gland_plus_tumor__Ridge_a1,0.248,,0.274,0.1859,0.356,0.222
1,1,gland_only__Ridge_a10,0.219,,0.228,0.1795,0.232,0.095
1,1,gland_only__ElasticNet,0.216,,0.226,0.1778,0.213,0.091
1,1,gland_plus_tumor__Ridge_a10,0.237,,0.280,0.1720,0.199,0.000
1,1,gland_only__PLS_2,0.214,,0.247,0.1651,0.213,0.091
1,1,ratio_focused__ElasticNet,0.214,,0.300,0.1395,0.213,0.000
1,1,minimal_mask__PLS_2,0.040,,0.224,0.0035,0.213,0.091
1,1,minimal_mask__Ridge_a1,0.036,,0.228,-0.0032,0.213,0.091
1,1,minimal_mask__Ridge_a10,-0.004,,0.269,-0.0636,0.167,0.000
1,1,minimal_prob__PLS_2,-0.036,,0.270,-0.0961,0.167,0.000
1,1,minimal_prob__Ridge_a1,-0.041,,0.275,-0.1037,0.167,0.000
