Round 2 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  gland_mask_fraction: r=-0.264
  tumor_mean_nnd: r=+0.405
  tumor_median_nnd: r=+0.425
  tumor_nnd_cv: r=-0.097
  tumor_nnd_std: r=+0.245
  tumor_nnd_iqr: r=+0.378
  tumor_cell_count_st: r=+0.296
  tumor_cell_fraction: r=+0.071
  tumor_cell_density: r=+0.301

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_ratio+median_nnd__PLS_1: adjusted=0.4358 (LOO r=0.436, IS r=0.536, gap=0.100) [F1=0.355 QWK=0.308]
  gland_ratio+nnd_iqr__PLS_1: adjusted=0.4210 (LOO r=0.421, IS r=0.531, gap=0.110) [F1=0.330 QWK=0.250]
  gland_ratio+median_nnd__Ridge_a0.1: adjusted=0.4100 (LOO r=0.410, IS r=0.535, gap=0.125) [F1=0.355 QWK=0.308]
  gland_ratio+median_nnd__PLS_2: adjusted=0.4100 (LOO r=0.410, IS r=0.535, gap=0.125) [F1=0.355 QWK=0.308]
  gland_ratio+median_nnd__Ridge_a1: adjusted=0.4100 (LOO r=0.410, IS r=0.535, gap=0.125) [F1=0.375 QWK=0.320]
  gland_ratio+mean_nnd__PLS_1: adjusted=0.4055 (LOO r=0.406, IS r=0.510, gap=0.104) [F1=0.330 QWK=0.250]
  gland_ratio+nnd_iqr__PLS_2: adjusted=0.4044 (LOO r=0.404, IS r=0.532, gap=0.127) [F1=0.330 QWK=0.250]
  gland_ratio+nnd_iqr__Ridge_a0.1: adjusted=0.4043 (LOO r=0.404, IS r=0.532, gap=0.127) [F1=0.330 QWK=0.250]
  gland_ratio+median_nnd__Ridge_a10: adjusted=0.4040 (LOO r=0.404, IS r=0.529, gap=0.125) [F1=0.330 QWK=0.250]
  gland_ratio+mask+nnd__PLS_1: adjusted=0.4036 (LOO r=0.404, IS r=0.533, gap=0.129) [F1=0.278 QWK=0.174]
  gland_ratio+nnd_iqr__Ridge_a1: adjusted=0.4036 (LOO r=0.404, IS r=0.531, gap=0.128) [F1=0.330 QWK=0.250]
