Round 3 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.425
  tumor_mean_nnd: r=+0.405
  tumor_nnd_cv: r=-0.097
  gland_mask_fraction: r=-0.264
  gland_component_count: r=+0.216
  gland_component_count_norm: r=-0.260
  gland_mean_component_area: r=-0.190
  gland_median_component_area: r=-0.266
  gland_total_area_norm: r=-0.307
  gland_max_component_area: r=+0.015
  gland_large_component_count: r=+0.156
  gland_large_component_ratio: r=-0.257

ALL CONFIGURATIONS (sorted by adjusted score):
  ratio+nnd+mask_frac__PLS_1: adjusted=0.4455 (LOO r=0.446, IS r=0.570, gap=0.124) [F1=0.330 QWK=0.250]
  gland_ratio+median_nnd__PLS_1: adjusted=0.4358 (LOO r=0.436, IS r=0.536, gap=0.100) [F1=0.355 QWK=0.308]
  ratio+nnd+mean_area__PLS_1: adjusted=0.4304 (LOO r=0.430, IS r=0.547, gap=0.117) [F1=0.311 QWK=0.240]
  ratio+nnd+total_area_norm__PLS_1: adjusted=0.4289 (LOO r=0.429, IS r=0.546, gap=0.117) [F1=0.330 QWK=0.250]
  ratio+nnd+mask_frac__PLS_2: adjusted=0.4235 (LOO r=0.424, IS r=0.568, gap=0.144) [F1=0.355 QWK=0.308]
  ratio+nnd+comp_count+mean_area__PLS_1: adjusted=0.4192 (LOO r=0.419, IS r=0.560, gap=0.141) [F1=0.259 QWK=0.167]
  ratio+nnd+large_count__PLS_2: adjusted=0.4180 (LOO r=0.418, IS r=0.535, gap=0.117) [F1=0.375 QWK=0.320]
  gland_ratio+median_nnd__PLS_2: adjusted=0.4100 (LOO r=0.410, IS r=0.535, gap=0.125) [F1=0.355 QWK=0.308]
  gland_ratio+median_nnd__Ridge_a1: adjusted=0.4100 (LOO r=0.410, IS r=0.535, gap=0.125) [F1=0.375 QWK=0.320]
  ratio+nnd+comp_count_norm__PLS_1: adjusted=0.4085 (LOO r=0.409, IS r=0.527, gap=0.119) [F1=0.330 QWK=0.250]
  ratio+nnd+mask_frac__Ridge_a10: adjusted=0.4065 (LOO r=0.408, IS r=0.562, gap=0.154) [F1=0.297 QWK=0.182]
  ratio+nnd+comp_count+mean_area__PLS_2: adjusted=0.4059 (LOO r=0.408, IS r=0.563, gap=0.155) [F1=0.311 QWK=0.240]
