Round 6 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.420
  roi_mean_density: r=+0.250
  roi_density_var: r=-0.078
  roi_density_range: r=+0.034
  roi_max_density: r=+0.236
  roi_min_density: r=+0.194
  gland_mask_fraction: r=-0.264

Gland embeddings available: 30/30

ALL CONFIGURATIONS (sorted by adjusted score):
  gr+nnd+mf__PLS1: adjusted=0.4435 (LOO r=0.444, IS r=0.568, gap=0.125) [F1=0.330 QWK=0.250]
  gr+tumor_median_nnd__PLS1: adjusted=0.4340 (LOO r=0.434, IS r=0.534, gap=0.100) [F1=0.355 QWK=0.308]
  BASE_gr+nnd__PLS1: adjusted=0.4340 (LOO r=0.434, IS r=0.534, gap=0.100) [F1=0.355 QWK=0.308]
  gr+nnd+roi_mean_density+mf__PLS1: adjusted=0.4189 (LOO r=0.419, IS r=0.553, gap=0.134) [F1=0.247 QWK=0.214]
  gr+nnd+roi_mean_density__PLS1: adjusted=0.4112 (LOO r=0.411, IS r=0.527, gap=0.116) [F1=0.333 QWK=0.333]
  gr+nnd+roi_max_density__PLS1: adjusted=0.4059 (LOO r=0.406, IS r=0.531, gap=0.125) [F1=0.244 QWK=0.214]
  gr+nnd+roi_min_density__PLS1: adjusted=0.4045 (LOO r=0.405, IS r=0.525, gap=0.120) [F1=0.358 QWK=0.345]
  gr+nnd+mf__Ridge10: adjusted=0.4040 (LOO r=0.406, IS r=0.560, gap=0.154) [F1=0.297 QWK=0.182]
  gr+tumor_median_nnd__Ridge10: adjusted=0.4026 (LOO r=0.403, IS r=0.528, gap=0.126) [F1=0.330 QWK=0.250]
  BASE_gr+nnd__Ridge10: adjusted=0.4026 (LOO r=0.403, IS r=0.528, gap=0.126) [F1=0.330 QWK=0.250]
  gr+nnd+roi_mean_density__Ridge10: adjusted=0.3807 (LOO r=0.381, IS r=0.532, gap=0.151) [F1=0.288 QWK=0.231]
  gr+nnd+roi_min_density__Ridge10: adjusted=0.3741 (LOO r=0.376, IS r=0.529, gap=0.153) [F1=0.311 QWK=0.240]
  gr+nnd+roi_max_density__Ridge10: adjusted=0.3664 (LOO r=0.372, IS r=0.534, gap=0.162) [F1=0.240 QWK=0.160]
  gr+nnd+roi_mean_density+mf__Ridge10: adjusted=0.3653 (LOO r=0.378, IS r=0.554, gap=0.176) [F1=0.268 QWK=0.222]
  gr+roi_mean_density__PLS1: adjusted=0.3193 (LOO r=0.319, IS r=0.467, gap=0.147) [F1=0.229 QWK=0.160]
  gr+nnd+roi_density_range+mf__PLS1: adjusted=0.3110 (LOO r=0.348, IS r=0.572, gap=0.224) [F1=0.259 QWK=0.167]
  gr+roi_max_density__PLS1: adjusted=0.3086 (LOO r=0.310, IS r=0.464, gap=0.154) [F1=0.162 QWK=0.080]
  gr+nnd+roi_density_range__PLS1: adjusted=0.2962 (LOO r=0.327, IS r=0.538, gap=0.211) [F1=0.311 QWK=0.240]
  solo_gland_patch_ratio__Ridge10: adjusted=0.2829 (LOO r=0.283, IS r=0.415, gap=0.132) [F1=0.232 QWK=0.095]
  solo_tumor_median_nnd__Ridge10: adjusted=0.2795 (LOO r=0.279, IS r=0.420, gap=0.141) [F1=0.167 QWK=0.000]
  gr+roi_mean_density__Ridge10: adjusted=0.2783 (LOO r=0.291, IS r=0.467, gap=0.176) [F1=0.140 QWK=0.000]
  gr+nnd+roi_density_range__Ridge10: adjusted=0.2659 (LOO r=0.304, IS r=0.532, gap=0.227) [F1=0.330 QWK=0.250]
  gr+gland_mask_fraction__PLS1: adjusted=0.2657 (LOO r=0.266, IS r=0.407, gap=0.142) [F1=0.213 QWK=0.091]
  gr+nnd+roi_density_range+mf__Ridge10: adjusted=0.2609 (LOO r=0.312, IS r=0.565, gap=0.253) [F1=0.297 QWK=0.182]
  gr+roi_max_density__Ridge10: adjusted=0.2563 (LOO r=0.276, IS r=0.464, gap=0.189) [F1=0.195 QWK=0.087]
  gr+gland_mask_fraction__Ridge10: adjusted=0.2440 (LOO r=0.251, IS r=0.415, gap=0.164) [F1=0.213 QWK=0.091]
  gr+nnd+roi_mean_density+mf__Ridge100: adjusted=0.2361 (LOO r=0.289, IS r=0.546, gap=0.256) [F1=0.167 QWK=0.000]
  gr+nnd+roi_mean_density__Ridge100: adjusted=0.2071 (LOO r=0.264, IS r=0.529, gap=0.265) [F1=0.167 QWK=0.000]
  gr+nnd+roi_max_density__Ridge100: adjusted=0.1949 (LOO r=0.257, IS r=0.532, gap=0.275) [F1=0.167 QWK=0.000]
  gr+nnd+roi_min_density__Ridge100: adjusted=0.1829 (LOO r=0.247, IS r=0.526, gap=0.279) [F1=0.167 QWK=0.000]
  gr+roi_density_range__PLS1: adjusted=0.0809 (LOO r=0.142, IS r=0.415, gap=0.272) [F1=0.181 QWK=0.000]
  gr+roi_density_range__Ridge10: adjusted=0.0805 (LOO r=0.142, IS r=0.415, gap=0.273) [F1=0.232 QWK=0.095]
  solo_gland_mask_fraction__Ridge10: adjusted=-0.0630 (LOO r=-0.004, IS r=0.264, gap=0.268) [F1=0.167 QWK=0.000]
  solo_roi_mean_density__Ridge10: adjusted=-0.1188 (LOO r=-0.046, IS r=0.250, gap=0.296) [F1=0.167 QWK=0.000]
  solo_roi_density_var__Ridge10: adjusted=-1.0000 (LOO r=-0.430, IS r=0.078, gap=0.508) [F1=0.171 QWK=-0.095]
  solo_roi_density_range__Ridge10: adjusted=-1.0000 (LOO r=-0.448, IS r=0.034, gap=0.481) [F1=0.171 QWK=-0.095]
  solo_roi_max_density__Ridge10: adjusted=-1.0000 (LOO r=-0.075, IS r=0.236, gap=0.311) [F1=0.167 QWK=0.000]
  solo_roi_min_density__Ridge10: adjusted=-1.0000 (LOO r=-0.198, IS r=0.194, gap=0.391) [F1=0.167 QWK=0.000]
  gr+roi_density_var__PLS1: adjusted=-1.0000 (LOO r=0.086, IS r=0.419, gap=0.333) [F1=0.199 QWK=0.000]
  gr+roi_density_var__Ridge10: adjusted=-1.0000 (LOO r=0.036, IS r=0.419, gap=0.383) [F1=0.236 QWK=0.000]
  gr+nnd+roi_density_var__PLS1: adjusted=-1.0000 (LOO r=0.223, IS r=0.528, gap=0.304) [F1=0.330 QWK=0.160]
  gr+nnd+roi_density_var__Ridge10: adjusted=-1.0000 (LOO r=0.191, IS r=0.527, gap=0.336) [F1=0.330 QWK=0.160]
  gr+nnd+roi_density_var__Ridge100: adjusted=-1.0000 (LOO r=0.043, IS r=0.522, gap=0.480) [F1=0.167 QWK=0.000]
  gr+nnd+roi_density_range__Ridge100: adjusted=-1.0000 (LOO r=0.156, IS r=0.526, gap=0.370) [F1=0.167 QWK=0.000]
  gr+nnd+roi_density_var+mf__PLS1: adjusted=-1.0000 (LOO r=0.216, IS r=0.559, gap=0.344) [F1=0.296 QWK=0.087]
  gr+nnd+roi_density_var+mf__Ridge10: adjusted=-1.0000 (LOO r=0.201, IS r=0.559, gap=0.358) [F1=0.296 QWK=0.087]
  gr+nnd+roi_density_var+mf__Ridge100: adjusted=-1.0000 (LOO r=0.094, IS r=0.534, gap=0.440) [F1=0.167 QWK=0.000]
  gr+nnd+roi_density_range+mf__Ridge100: adjusted=-1.0000 (LOO r=0.194, IS r=0.536, gap=0.341) [F1=0.232 QWK=0.095]
  gr+nnd+rd+rv+mf__PLS1: adjusted=-1.0000 (LOO r=0.243, IS r=0.545, gap=0.302) [F1=0.200 QWK=0.071]
  gr+nnd+rd+rv+mf__PLS2: adjusted=-1.0000 (LOO r=0.213, IS r=0.562, gap=0.349) [F1=0.200 QWK=0.071]
  gr+nnd+rd+rv+mf__Ridge100: adjusted=-1.0000 (LOO r=0.114, IS r=0.543, gap=0.429) [F1=0.167 QWK=0.000]
  gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.436, IS r=0.779, gap=0.342) [F1=0.491 QWK=0.370]
  gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.546, IS r=0.897, gap=0.351) [F1=0.444 QWK=0.429]
  gland_emb__PLS3: adjusted=-1.0000 (LOO r=0.575, IS r=0.930, gap=0.355) [F1=0.472 QWK=0.424]
  gland_emb__Ridge1000: adjusted=-1.0000 (LOO r=0.535, IS r=0.907, gap=0.372) [F1=0.352 QWK=0.261]
  gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.378, IS r=0.815, gap=0.436) [F1=0.232 QWK=0.095]
  gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.254, IS r=0.784, gap=0.530) [F1=0.167 QWK=0.000]
  gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.560, IS r=0.748, gap=1.308) [F1=0.167 QWK=0.000]
  gland_emb__EN_a1_l05: adjusted=-1.0000 (LOO r=-0.839, IS r=0.617, gap=1.456) [F1=0.167 QWK=0.000]
  gland_emb__EN_a5_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_emb__EN_a10_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gr+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.437, IS r=0.778, gap=0.341) [F1=0.491 QWK=0.370]
  gr+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.545, IS r=0.897, gap=0.352) [F1=0.444 QWK=0.429]
  gr+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.379, IS r=0.814, gap=0.436) [F1=0.232 QWK=0.095]
  gr+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.255, IS r=0.784, gap=0.529) [F1=0.167 QWK=0.000]
  gr+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.557, IS r=0.748, gap=1.304) [F1=0.167 QWK=0.000]
  gr+nnd+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.438, IS r=0.779, gap=0.340) [F1=0.491 QWK=0.370]
  gr+nnd+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.546, IS r=0.897, gap=0.351) [F1=0.444 QWK=0.429]
  gr+nnd+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.380, IS r=0.814, gap=0.434) [F1=0.232 QWK=0.095]
  gr+nnd+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.257, IS r=0.784, gap=0.527) [F1=0.167 QWK=0.000]
  gr+nnd+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.554, IS r=0.748, gap=1.302) [F1=0.167 QWK=0.000]
  gr+nnd+mf+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.438, IS r=0.779, gap=0.340) [F1=0.491 QWK=0.370]
  gr+nnd+mf+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.545, IS r=0.897, gap=0.352) [F1=0.444 QWK=0.429]
  gr+nnd+mf+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.380, IS r=0.814, gap=0.434) [F1=0.232 QWK=0.095]
  gr+nnd+mf+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.257, IS r=0.784, gap=0.526) [F1=0.167 QWK=0.000]
  gr+nnd+mf+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.553, IS r=0.748, gap=1.301) [F1=0.167 QWK=0.000]
  gr+nnd+rd+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.439, IS r=0.779, gap=0.340) [F1=0.491 QWK=0.370]
  gr+nnd+rd+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.546, IS r=0.897, gap=0.350) [F1=0.444 QWK=0.429]
  gr+nnd+rd+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.381, IS r=0.815, gap=0.434) [F1=0.232 QWK=0.095]
  gr+nnd+rd+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.258, IS r=0.784, gap=0.526) [F1=0.167 QWK=0.000]
  gr+nnd+rd+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.554, IS r=0.748, gap=1.302) [F1=0.167 QWK=0.000]
  gr+nnd+rv+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.437, IS r=0.779, gap=0.342) [F1=0.434 QWK=0.308]
  gr+nnd+rv+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.543, IS r=0.897, gap=0.354) [F1=0.444 QWK=0.429]
  gr+nnd+rv+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.378, IS r=0.814, gap=0.436) [F1=0.232 QWK=0.095]
  gr+nnd+rv+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.255, IS r=0.784, gap=0.529) [F1=0.167 QWK=0.000]
  gr+nnd+rv+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.556, IS r=0.748, gap=1.305) [F1=0.167 QWK=0.000]
  gr+nnd+rd+mf+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.439, IS r=0.779, gap=0.340) [F1=0.491 QWK=0.370]
  gr+nnd+rd+mf+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.546, IS r=0.897, gap=0.351) [F1=0.444 QWK=0.429]
