Round 7 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.420
  gland_mask_fraction: r=-0.264

Embedding availability: gland=30/30, tumor=30/30, all=30/30

ALL CONFIGURATIONS (sorted by adjusted score):
  hc3__PLS1: adjusted=0.4435 (LOO r=0.444, IS r=0.568, gap=0.125) [F1=0.330 QWK=0.250]
  hc3__PLS2: adjusted=0.4219 (LOO r=0.422, IS r=0.566, gap=0.144) [F1=0.355 QWK=0.308]
  hc3__Ridge10: adjusted=0.4040 (LOO r=0.406, IS r=0.560, gap=0.154) [F1=0.297 QWK=0.182]
  hc3__Ridge100: adjusted=0.2357 (LOO r=0.285, IS r=0.535, gap=0.249) [F1=0.232 QWK=0.095]
  gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.436, IS r=0.779, gap=0.342) [F1=0.491 QWK=0.370]
  gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.546, IS r=0.897, gap=0.351) [F1=0.444 QWK=0.429]
  gland_emb__PLS3: adjusted=-1.0000 (LOO r=0.575, IS r=0.930, gap=0.355) [F1=0.472 QWK=0.424]
  gland_emb__Ridge1000: adjusted=-1.0000 (LOO r=0.535, IS r=0.907, gap=0.372) [F1=0.352 QWK=0.261]
  gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.378, IS r=0.815, gap=0.436) [F1=0.232 QWK=0.095]
  gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.254, IS r=0.784, gap=0.530) [F1=0.167 QWK=0.000]
  gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.560, IS r=0.748, gap=1.308) [F1=0.167 QWK=0.000]
  gland_emb__EN_a1_l05: adjusted=-1.0000 (LOO r=-0.839, IS r=0.617, gap=1.456) [F1=0.167 QWK=0.000]
  gland_emb__EN_a5_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_emb__EN_a10_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_emb__EN_a01_l09: adjusted=-1.0000 (LOO r=0.451, IS r=0.957, gap=0.506) [F1=0.368 QWK=0.276]
  tumor_emb__PLS1: adjusted=-1.0000 (LOO r=0.484, IS r=0.808, gap=0.324) [F1=0.351 QWK=0.222]
  tumor_emb__PLS2: adjusted=-1.0000 (LOO r=0.571, IS r=0.911, gap=0.340) [F1=0.533 QWK=0.533]
  tumor_emb__PLS3: adjusted=-1.0000 (LOO r=0.504, IS r=0.939, gap=0.435) [F1=0.472 QWK=0.500]
  tumor_emb__Ridge1000: adjusted=-1.0000 (LOO r=0.531, IS r=0.897, gap=0.367) [F1=0.381 QWK=0.320]
  tumor_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.429, IS r=0.813, gap=0.383) [F1=0.232 QWK=0.095]
  tumor_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.325, IS r=0.785, gap=0.460) [F1=0.167 QWK=0.000]
  tumor_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.527, IS r=0.754, gap=1.281) [F1=0.167 QWK=0.000]
  tumor_emb__EN_a1_l05: adjusted=-1.0000 (LOO r=-0.474, IS r=0.762, gap=1.236) [F1=0.167 QWK=0.000]
  tumor_emb__EN_a5_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  all_emb__PLS1: adjusted=-1.0000 (LOO r=0.233, IS r=0.684, gap=0.451) [F1=0.404 QWK=0.240]
  all_emb__PLS2: adjusted=-1.0000 (LOO r=0.361, IS r=0.752, gap=0.391) [F1=0.441 QWK=0.345]
  all_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.169, IS r=0.697, gap=0.528) [F1=0.232 QWK=0.095]
  all_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.032, IS r=0.672, gap=0.640) [F1=0.167 QWK=0.000]
  hc+gland_emb__PLS1: adjusted=-1.0000 (LOO r=0.438, IS r=0.779, gap=0.340) [F1=0.491 QWK=0.370]
  hc+gland_emb__PLS2: adjusted=-1.0000 (LOO r=0.545, IS r=0.897, gap=0.352) [F1=0.444 QWK=0.429]
  hc+gland_emb__PLS3: adjusted=-1.0000 (LOO r=0.573, IS r=0.930, gap=0.356) [F1=0.472 QWK=0.424]
  hc+gland_emb__Ridge1000: adjusted=-1.0000 (LOO r=0.535, IS r=0.907, gap=0.372) [F1=0.352 QWK=0.261]
  hc+gland_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.380, IS r=0.814, gap=0.434) [F1=0.232 QWK=0.095]
  hc+gland_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.257, IS r=0.784, gap=0.526) [F1=0.167 QWK=0.000]
  hc+gland_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.553, IS r=0.748, gap=1.301) [F1=0.167 QWK=0.000]
  hc+gland_emb__EN_a1_l05: adjusted=-1.0000 (LOO r=-0.839, IS r=0.617, gap=1.456) [F1=0.167 QWK=0.000]
  hc+gland_emb__EN_a5_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  hc+tumor_emb__PLS1: adjusted=-1.0000 (LOO r=0.486, IS r=0.808, gap=0.322) [F1=0.351 QWK=0.222]
  hc+tumor_emb__PLS2: adjusted=-1.0000 (LOO r=0.569, IS r=0.911, gap=0.342) [F1=0.533 QWK=0.533]
