Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  gland_PCA20_a1: adj=0.5874 LOO_r=0.6571 IS_r=0.9466 gap=0.2895 F1=0.6071 QWK=0.6250
  gland_PCA20_a5: adj=0.5862 LOO_r=0.6562 IS_r=0.9464 gap=0.2901 F1=0.6071 QWK=0.6250
  gland_EN_PCA20_a0.01_l10.5: adj=0.5854 LOO_r=0.6558 IS_r=0.9465 gap=0.2907 F1=0.5773 QWK=0.6061
  gland_PCA20_a10: adj=0.5847 LOO_r=0.6552 IS_r=0.9461 gap=0.2910 F1=0.6071 QWK=0.6250
  gland_PCA20_a20: adj=0.5817 LOO_r=0.6530 IS_r=0.9456 gap=0.2926 F1=0.6071 QWK=0.6250
  gland_EN_PCA20_a0.05_l10.5: adj=0.5781 LOO_r=0.6507 IS_r=0.9459 gap=0.2952 F1=0.6071 QWK=0.6250
  gland_PCA20_a50: adj=0.5733 LOO_r=0.6469 IS_r=0.9441 gap=0.2972 F1=0.5700 QWK=0.5806
  blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20: adj=0.5667 LOO_r=0.6387 IS_r=0.9326 gap=0.2939 F1=0.5333 QWK=0.5333
  blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a1: adj=0.5666 LOO_r=0.6386 IS_r=0.9326 gap=0.2940 F1=0.5700 QWK=0.5806
  blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a10: adj=0.5666 LOO_r=0.6386 IS_r=0.9326 gap=0.2940 F1=0.5700 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_c0.4_combined_PCA5_a20: adj=0.5481 LOO_r=0.6213 IS_r=0.9176 gap=0.2963 F1=0.4524 QWK=0.4286
  blend_g0.6_gland_PCA20_a1_c0.4_combined_PCA5_a10: adj=0.5479 LOO_r=0.6211 IS_r=0.9175 gap=0.2964 F1=0.4524 QWK=0.4286
  blend_g0.6_gland_PCA20_a1_c0.4_combined_PCA5_a1: adj=0.5479 LOO_r=0.6211 IS_r=0.9175 gap=0.2964 F1=0.4524 QWK=0.4286
  blend_g0.5_gland_PCA20_a1_c0.5_combined_PCA5_a20: adj=0.5197 LOO_r=0.5943 IS_r=0.8935 gap=0.2992 F1=0.4554 QWK=0.4000
  blend_g0.5_gland_PCA20_a1_c0.5_combined_PCA5_a10: adj=0.5195 LOO_r=0.5941 IS_r=0.8934 gap=0.2993 F1=0.4554 QWK=0.4000
  blend_g0.5_gland_PCA20_a1_c0.5_combined_PCA5_a1: adj=0.5194 LOO_r=0.5940 IS_r=0.8933 gap=0.2993 F1=0.4554 QWK=0.4000
  combined_PCA5_a1: adj=0.2029 LOO_r=0.2639 IS_r=0.5359 gap=0.2720 F1=0.2619 QWK=0.0833
  combined_PCA5_a10: adj=0.2025 LOO_r=0.2636 IS_r=0.5359 gap=0.2722 F1=0.2619 QWK=0.0833
  combined_PCA5_a20: adj=0.2025 LOO_r=0.2637 IS_r=0.5359 gap=0.2723 F1=0.2619 QWK=0.0833
  combined_PCA5_a5: adj=0.2024 LOO_r=0.2637 IS_r=0.5362 gap=0.2726 F1=0.2619 QWK=0.0833
  combined_PCA5_a50: adj=0.2015 LOO_r=0.2630 IS_r=0.5359 gap=0.2730 F1=0.2619 QWK=0.0833
  combined_PCA5_a100: adj=0.2004 LOO_r=0.2622 IS_r=0.5359 gap=0.2737 F1=0.2619 QWK=0.0833
  combined_PCA5_a200: adj=0.1989 LOO_r=0.2613 IS_r=0.5360 gap=0.2747 F1=0.2647 QWK=0.1739
  tumor_PCA3_a1: adj=0.1153 LOO_r=0.1665 IS_r=0.4189 gap=0.2524 F1=0.2134 QWK=0.0000
  tumor_PCA3_a5: adj=0.1152 LOO_r=0.1664 IS_r=0.4189 gap=0.2525 F1=0.2134 QWK=0.0000
  tumor_PCA3_a10: adj=0.1151 LOO_r=0.1664 IS_r=0.4189 gap=0.2525 F1=0.2134 QWK=0.0000
  tumor_PCA3_a50: adj=0.1145 LOO_r=0.1660 IS_r=0.4189 gap=0.2529 F1=0.2134 QWK=0.0000
  tumor_PCA3_a100: adj=0.1137 LOO_r=0.1654 IS_r=0.4189 gap=0.2535 F1=0.2134 QWK=0.0000
  tumor_PCA3_a200: adj=0.1120 LOO_r=0.1643 IS_r=0.4189 gap=0.2546 F1=0.2134 QWK=0.0000
  gland_PCA5_a1: adj=-1.0000 LOO_r=0.1383 IS_r=0.5307 gap=0.3924 F1=0.3519 QWK=0.1667
  gland_PCA5_a5: adj=-1.0000 LOO_r=0.1384 IS_r=0.5307 gap=0.3924 F1=0.3519 QWK=0.1667
  gland_PCA5_a10: adj=-1.0000 LOO_r=0.1383 IS_r=0.5307 gap=0.3924 F1=0.2913 QWK=0.0870
  gland_PCA5_a20: adj=-1.0000 LOO_r=0.1383 IS_r=0.5308 gap=0.3925 F1=0.2913 QWK=0.0870
  gland_PCA5_a50: adj=-1.0000 LOO_r=0.1380 IS_r=0.5307 gap=0.3927 F1=0.2913 QWK=0.0870
  gland_PCA5_a100: adj=-1.0000 LOO_r=0.1377 IS_r=0.5307 gap=0.3931 F1=0.2360 QWK=0.0000
  gland_PCA5_a200: adj=-1.0000 LOO_r=0.1367 IS_r=0.5307 gap=0.3939 F1=0.2360 QWK=0.0000
  gland_PCA6_a1: adj=-1.0000 LOO_r=0.3715 IS_r=0.7134 gap=0.3419 F1=0.3519 QWK=0.2609
  gland_PCA6_a5: adj=-1.0000 LOO_r=0.3713 IS_r=0.7134 gap=0.3421 F1=0.3519 QWK=0.2609
  gland_PCA6_a10: adj=-1.0000 LOO_r=0.3713 IS_r=0.7133 gap=0.3421 F1=0.3519 QWK=0.2609
  gland_PCA6_a20: adj=-1.0000 LOO_r=0.3708 IS_r=0.7132 gap=0.3423 F1=0.3519 QWK=0.2609
