Round 11 Details
================================================================================

Best model: blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a0.1
Description: Blend 0.6*gland_PCA20_a0.1 + 0.4*tumor_PCA12_a0.1
LOO Pearson r: 0.6750
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6160

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Tumor Embedding: tumor_PCA12_a0.1 adj=0.5203 LOO_r=0.5813 gap=0.2722
  Combined Embedding: combined_PCA12_a5 adj=0.5635 LOO_r=0.6094 gap=0.2419
  Blend (2-way): blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a0.1 adj=0.6160 LOO_r=0.6750 gap=0.2680
  Blend (3-way): blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a0.1_c0.2_combined_PCA12_a5 adj=0.6150 LOO_r=0.6728 gap=0.2655

Top 80 configurations (sorted by adjusted):
  blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a0.1: adj=0.6160 LOO_r=0.6750 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a1: adj=0.6159 LOO_r=0.6749 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a5: adj=0.6158 LOO_r=0.6749 IS_r=0.9430 gap=0.2681 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_t0.4_tumor_PCA12_a0.1: adj=0.6158 LOO_r=0.6748 IS_r=0.9429 gap=0.2681 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a10: adj=0.6157 LOO_r=0.6748 IS_r=0.9430 gap=0.2682 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_t0.4_tumor_PCA12_a1: adj=0.6156 LOO_r=0.6747 IS_r=0.9429 gap=0.2682 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_t0.4_tumor_PCA12_a5: adj=0.6155 LOO_r=0.6746 IS_r=0.9429 gap=0.2683 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_t0.4_tumor_PCA12_a10: adj=0.6154 LOO_r=0.6746 IS_r=0.9429 gap=0.2684 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a0.1_t0.4_tumor_PCA12_a20: adj=0.6154 LOO_r=0.6746 IS_r=0.9430 gap=0.2684 F1=0.5705 QWK=0.5806
  blend_g0.6_gland_PCA20_a1_t0.4_tumor_PCA12_a20: adj=0.6151 LOO_r=0.6744 IS_r=0.9430 gap=0.2686 F1=0.5705 QWK=0.5806
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a0.1_c0.2_combined_PCA12_a5: adj=0.6150 LOO_r=0.6728 IS_r=0.9383 gap=0.2655 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a0.1_c0.2_combined_PCA12_a1: adj=0.6150 LOO_r=0.6728 IS_r=0.9383 gap=0.2655 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a0.1_c0.2_combined_PCA12_a0.1: adj=0.6150 LOO_r=0.6728 IS_r=0.9383 gap=0.2655 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a1_c0.2_combined_PCA12_a5: adj=0.6149 LOO_r=0.6727 IS_r=0.9383 gap=0.2656 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a1_c0.2_combined_PCA12_a1: adj=0.6149 LOO_r=0.6727 IS_r=0.9383 gap=0.2656 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a1_c0.2_combined_PCA12_a0.1: adj=0.6149 LOO_r=0.6727 IS_r=0.9383 gap=0.2656 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a5_c0.2_combined_PCA12_a5: adj=0.6148 LOO_r=0.6726 IS_r=0.9383 gap=0.2657 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a0.1_t0.3_tumor_PCA12_a5_c0.2_combined_PCA12_a1: adj=0.6148 LOO_r=0.6726 IS_r=0.9383 gap=0.2657 F1=0.5208 QWK=0.5000
  blend3_g0.5_gland_PCA20_a1_t0.3_tumor_PCA12_a0.1_c0.2_combined_PCA12_a5: adj=0.6148 LOO_r=0.6726 IS_r=0.9382 gap=0.2656 F1=0.5208 QWK=0.5000
