Round 12 Details
================================================================================

Best model: blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1
Description: Blend 0.60*gland_PCA20_a0.1 + 0.40*tumor_PCA12_a0.1
LOO Pearson r: 0.6750
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6160

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Tumor Embedding: tumor_PCA12_a0.1 adj=0.5200 LOO_r=0.5812 gap=0.2723
  Cell Embedding: cell_PCA5_a0.1 adj=-1.0000 LOO_r=0.0449 gap=0.3825
  GT Combined: gt_combined_PCA10_a1 adj=0.4769 LOO_r=0.5451 gap=0.2863
  GC Combined: gc_combined_PCA10_a1 adj=-1.0000 LOO_r=0.2481 gap=0.4537
  All3 Combined: all3_combined_PCA10_a1 adj=-1.0000 LOO_r=0.3562 gap=0.4156
  Blend GT (2-way): blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1 adj=0.6160 LOO_r=0.6750 gap=0.2680

All configurations (sorted by adjusted):
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1: adj=0.6160 LOO_r=0.6750 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a1: adj=0.6159 LOO_r=0.6749 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a5: adj=0.6158 LOO_r=0.6749 IS_r=0.9430 gap=0.2681 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a0.1: adj=0.6157 LOO_r=0.6748 IS_r=0.9429 gap=0.2681 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a1: adj=0.6156 LOO_r=0.6747 IS_r=0.9429 gap=0.2682 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a5: adj=0.6155 LOO_r=0.6747 IS_r=0.9429 gap=0.2683 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a0.1: adj=0.6154 LOO_r=0.6754 IS_r=0.9454 gap=0.2700 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a0.1: adj=0.6154 LOO_r=0.6735 IS_r=0.9399 gap=0.2663 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a1: adj=0.6153 LOO_r=0.6754 IS_r=0.9454 gap=0.2700 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a1: adj=0.6153 LOO_r=0.6735 IS_r=0.9399 gap=0.2664 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a5: adj=0.6152 LOO_r=0.6753 IS_r=0.9454 gap=0.2701 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a5: adj=0.6152 LOO_r=0.6734 IS_r=0.9399 gap=0.2665 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a1_t0.35_tumor_PCA12_a0.1: adj=0.6151 LOO_r=0.6752 IS_r=0.9453 gap=0.2701 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a1_t0.45_tumor_PCA12_a0.1: adj=0.6151 LOO_r=0.6733 IS_r=0.9398 gap=0.2665 F1=0.5705 QWK=0.5806
