Round 13 Details
================================================================================

Best model: blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1
Description: Blend 0.60*gland_PCA20_a0.1 + 0.40*tumor_PCA12_a0.1
LOO Pearson r: 0.6749
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6159

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Neg Embedding: neg_PCA5_a0.1 adj=0.2594 LOO_r=0.3171 gap=0.2653
  Tumor Embedding: tumor_PCA12_a1 adj=0.5199 LOO_r=0.5811 gap=0.2724
  KRR Gland: krr_gland_PCA10_a5_gauto adj=0.0000 LOO_r=0.0000 gap=0.0000
  GN Combined: gn_combined_PCA10_a1 adj=-1.0000 LOO_r=0.1947 gap=0.4766
  All3 Combined: all3_combined_PCA10_a1 adj=-1.0000 LOO_r=0.3879 gap=0.3583
  Blend GT (2-way): blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1 adj=0.6159 LOO_r=0.6749 gap=0.2680
  Blend GN (2-way): blend_gn_g0.90_gland_PCA20_a0.1_n0.10_neg_PCA5_a1 adj=0.5815 LOO_r=0.6526 gap=0.2922
  Blend 3-way GTN: blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a5 adj=0.6060 LOO_r=0.6678 gap=0.2735

All configurations (sorted by adjusted):
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1: adj=0.6159 LOO_r=0.6749 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a1: adj=0.6159 LOO_r=0.6749 IS_r=0.9430 gap=0.2680 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a5: adj=0.6158 LOO_r=0.6749 IS_r=0.9430 gap=0.2681 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a0.1: adj=0.6156 LOO_r=0.6747 IS_r=0.9429 gap=0.2682 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a1: adj=0.6156 LOO_r=0.6747 IS_r=0.9429 gap=0.2682 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a1_t0.40_tumor_PCA12_a5: adj=0.6155 LOO_r=0.6746 IS_r=0.9429 gap=0.2683 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a0.1: adj=0.6153 LOO_r=0.6754 IS_r=0.9454 gap=0.2700 F1=0.5349 QWK=0.5333
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a1: adj=0.6153 LOO_r=0.6754 IS_r=0.9454 gap=0.2700 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a0.1: adj=0.6153 LOO_r=0.6735 IS_r=0.9399 gap=0.2664 F1=0.5705 QWK=0.5806
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a1: adj=0.6153 LOO_r=0.6735 IS_r=0.9399 gap=0.2664 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a0.1_t0.35_tumor_PCA12_a5: adj=0.6152 LOO_r=0.6753 IS_r=0.9454 gap=0.2701 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a0.1_t0.45_tumor_PCA12_a5: adj=0.6152 LOO_r=0.6734 IS_r=0.9399 gap=0.2665 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a1_t0.35_tumor_PCA12_a0.1: adj=0.6151 LOO_r=0.6752 IS_r=0.9453 gap=0.2702 F1=0.5349 QWK=0.5333
  blend_gt_g0.65_gland_PCA20_a1_t0.35_tumor_PCA12_a1: adj=0.6151 LOO_r=0.6751 IS_r=0.9453 gap=0.2702 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a1_t0.45_tumor_PCA12_a0.1: adj=0.6150 LOO_r=0.6733 IS_r=0.9398 gap=0.2665 F1=0.5705 QWK=0.5806
  blend_gt_g0.55_gland_PCA20_a1_t0.45_tumor_PCA12_a1: adj=0.6150 LOO_r=0.6733 IS_r=0.9398 gap=0.2665 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a1_t0.35_tumor_PCA12_a5: adj=0.6150 LOO_r=0.6751 IS_r=0.9453 gap=0.2702 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a1_t0.45_tumor_PCA12_a5: adj=0.6149 LOO_r=0.6732 IS_r=0.9398 gap=0.2666 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a5_t0.40_tumor_PCA12_a0.1: adj=0.6144 LOO_r=0.6738 IS_r=0.9425 gap=0.2687 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a5_t0.40_tumor_PCA12_a1: adj=0.6144 LOO_r=0.6738 IS_r=0.9425 gap=0.2687 F1=0.5705 QWK=0.5806
  blend_gt_g0.60_gland_PCA20_a5_t0.40_tumor_PCA12_a5: adj=0.6143 LOO_r=0.6737 IS_r=0.9426 gap=0.2688 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a5_t0.35_tumor_PCA12_a0.1: adj=0.6139 LOO_r=0.6742 IS_r=0.9450 gap=0.2707 F1=0.5349 QWK=0.5333
  blend_gt_g0.65_gland_PCA20_a5_t0.35_tumor_PCA12_a1: adj=0.6139 LOO_r=0.6742 IS_r=0.9450 gap=0.2707 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a5_t0.45_tumor_PCA12_a0.1: adj=0.6139 LOO_r=0.6724 IS_r=0.9394 gap=0.2671 F1=0.5705 QWK=0.5806
  blend_gt_g0.55_gland_PCA20_a5_t0.45_tumor_PCA12_a1: adj=0.6139 LOO_r=0.6724 IS_r=0.9394 gap=0.2671 F1=0.5705 QWK=0.5806
  blend_gt_g0.65_gland_PCA20_a5_t0.35_tumor_PCA12_a5: adj=0.6138 LOO_r=0.6742 IS_r=0.9450 gap=0.2708 F1=0.5349 QWK=0.5333
  blend_gt_g0.55_gland_PCA20_a5_t0.45_tumor_PCA12_a5: adj=0.6137 LOO_r=0.6723 IS_r=0.9395 gap=0.2672 F1=0.5705 QWK=0.5806
  blend_gt_g0.70_gland_PCA20_a0.1_t0.30_tumor_PCA12_a0.1: adj=0.6137 LOO_r=0.6749 IS_r=0.9472 gap=0.2723 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a0.1_t0.30_tumor_PCA12_a1: adj=0.6137 LOO_r=0.6749 IS_r=0.9472 gap=0.2723 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a0.1_t0.30_tumor_PCA12_a5: adj=0.6136 LOO_r=0.6748 IS_r=0.9472 gap=0.2724 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a0.1_t0.50_tumor_PCA12_a1: adj=0.6135 LOO_r=0.6710 IS_r=0.9361 gap=0.2651 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a0.1_t0.50_tumor_PCA12_a0.1: adj=0.6135 LOO_r=0.6710 IS_r=0.9361 gap=0.2651 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a1_t0.30_tumor_PCA12_a0.1: adj=0.6135 LOO_r=0.6747 IS_r=0.9471 gap=0.2724 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a1_t0.30_tumor_PCA12_a1: adj=0.6134 LOO_r=0.6747 IS_r=0.9471 gap=0.2724 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a1_t0.30_tumor_PCA12_a5: adj=0.6133 LOO_r=0.6746 IS_r=0.9471 gap=0.2725 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a0.1_t0.50_tumor_PCA12_a5: adj=0.6133 LOO_r=0.6709 IS_r=0.9361 gap=0.2652 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a1_t0.50_tumor_PCA12_a1: adj=0.6132 LOO_r=0.6708 IS_r=0.9360 gap=0.2652 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a1_t0.50_tumor_PCA12_a0.1: adj=0.6132 LOO_r=0.6708 IS_r=0.9360 gap=0.2652 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a1_t0.50_tumor_PCA12_a5: adj=0.6131 LOO_r=0.6707 IS_r=0.9360 gap=0.2653 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a5_t0.30_tumor_PCA12_a0.1: adj=0.6123 LOO_r=0.6738 IS_r=0.9468 gap=0.2730 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a5_t0.30_tumor_PCA12_a1: adj=0.6122 LOO_r=0.6738 IS_r=0.9468 gap=0.2730 F1=0.5349 QWK=0.5333
  blend_gt_g0.70_gland_PCA20_a5_t0.30_tumor_PCA12_a5: adj=0.6121 LOO_r=0.6737 IS_r=0.9468 gap=0.2731 F1=0.5349 QWK=0.5333
  blend_gt_g0.50_gland_PCA20_a5_t0.50_tumor_PCA12_a1: adj=0.6120 LOO_r=0.6699 IS_r=0.9356 gap=0.2657 F1=0.4959 QWK=0.4828
  blend_gt_g0.50_gland_PCA20_a5_t0.50_tumor_PCA12_a0.1: adj=0.6120 LOO_r=0.6699 IS_r=0.9356 gap=0.2657 F1=0.4959 QWK=0.4828
  blend_gt_g0.50_gland_PCA20_a5_t0.50_tumor_PCA12_a5: adj=0.6119 LOO_r=0.6698 IS_r=0.9357 gap=0.2658 F1=0.4959 QWK=0.4828
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a5: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a1: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a0.1: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a5: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a1: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a0.1: adj=0.6060 LOO_r=0.6678 IS_r=0.9413 gap=0.2735 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a5: adj=0.6059 LOO_r=0.6677 IS_r=0.9413 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a1: adj=0.6059 LOO_r=0.6677 IS_r=0.9413 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a0.1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a0.1: adj=0.6059 LOO_r=0.6677 IS_r=0.9413 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a5: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a1: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2736 F1=0.5208 QWK=0.5000
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a1: adj=0.6057 LOO_r=0.6626 IS_r=0.9262 gap=0.2636 F1=0.4959 QWK=0.4828
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a0.1: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a5: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2737 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a1: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2736 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a0.1: adj=0.6057 LOO_r=0.6676 IS_r=0.9412 gap=0.2736 F1=0.5208 QWK=0.5000
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a0.1: adj=0.6057 LOO_r=0.6626 IS_r=0.9262 gap=0.2636 F1=0.4959 QWK=0.4828
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a5: adj=0.6056 LOO_r=0.6675 IS_r=0.9412 gap=0.2737 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a1: adj=0.6056 LOO_r=0.6675 IS_r=0.9412 gap=0.2737 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a1_t0.30_tumor_PCA12_a5_n0.10_neg_PCA5_a0.1: adj=0.6056 LOO_r=0.6675 IS_r=0.9412 gap=0.2737 F1=0.5208 QWK=0.5000
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a5: adj=0.6056 LOO_r=0.6625 IS_r=0.9262 gap=0.2638 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a1: adj=0.6055 LOO_r=0.6624 IS_r=0.9261 gap=0.2638 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a0.1: adj=0.6055 LOO_r=0.6624 IS_r=0.9261 gap=0.2638 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a5: adj=0.6053 LOO_r=0.6623 IS_r=0.9262 gap=0.2639 F1=0.4959 QWK=0.4828
  blend3_gtn_g0.60_gland_PCA20_a5_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a5: adj=0.6045 LOO_r=0.6666 IS_r=0.9408 gap=0.2742 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a5_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a1: adj=0.6045 LOO_r=0.6666 IS_r=0.9408 gap=0.2742 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a5_t0.30_tumor_PCA12_a0.1_n0.10_neg_PCA5_a0.1: adj=0.6045 LOO_r=0.6666 IS_r=0.9408 gap=0.2742 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a5_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a5: adj=0.6045 LOO_r=0.6666 IS_r=0.9408 gap=0.2742 F1=0.5208 QWK=0.5000
  blend3_gtn_g0.60_gland_PCA20_a5_t0.30_tumor_PCA12_a1_n0.10_neg_PCA5_a1: adj=0.6045 LOO_r=0.6666 IS_r=0.9408 gap=0.2742 F1=0.5208 QWK=0.5000
