Round 15 Details
================================================================================

Best model: blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05
Description: 3way 0.95*blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4 + 0.05*gfrac
LOO Pearson r: 0.7585
IS Pearson r: 0.8933
Gap: 0.1347
Adjusted: 0.7585

Best per category:
  Gland SVR: svr_gland_PCA20_C0.1_e0.6 adj=0.7288 LOO_r=0.7288 gap=0.1377
  Tumor SVR: svr_tumor_PCA12_C2_e0.4 adj=0.7053 LOO_r=0.7053 gap=0.1352
  Gland NuSVR: nusvr_gland_PCA20_nu0.9_C0.1 adj=0.7346 LOO_r=0.7439 gap=0.1688
  Tumor NuSVR: nusvr_tumor_PCA15_nu0.7_C5.0 adj=0.6398 LOO_r=0.6515 gap=0.1735
  Combined SVR: comb_svr_PCA12_C0.2_e0.3 adj=0.6603 LOO_r=0.6630 gap=0.1554
  Combined NuSVR: comb_nusvr_PCA15_nu0.5_C2.0 adj=0.6464 LOO_r=0.6573 gap=0.1717
  2-way Blend: blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4 adj=0.7580 LOO_r=0.7646 gap=0.1632
  3-way Blend (via 2way): blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1347
  3-way Blend (direct): blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1350
  Gland Frac: gfrac_svr_C5_e0.5 adj=0.3875 LOO_r=0.3875 gap=0.0282

All configurations (sorted by adjusted):
  blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05: adj=0.7585 LOO_r=0.7585 IS_r=0.8933 gap=0.1347 F1=0.5944 QWK=0.6667
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.05: adj=0.7585 LOO_r=0.7585 IS_r=0.8935 gap=0.1350 F1=0.5368 QWK=0.6250
  blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4: adj=0.7580 LOO_r=0.7646 IS_r=0.9278 gap=0.1632 F1=0.5988 QWK=0.6000
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7580 LOO_r=0.7580 IS_r=0.8928 gap=0.1348 F1=0.5368 QWK=0.6250
  blend3_emb0.90_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7580 LOO_r=0.7580 IS_r=0.8924 gap=0.1344 F1=0.5944 QWK=0.6667
  blend3_emb0.95_blend2_g0.55_svr_gland_PCA20_C0.1_e0.6_t0.45_svr_tumor_PCA12_C2_e0.4_gf0.05: adj=0.7579 LOO_r=0.7579 IS_r=0.8923 gap=0.1343 F1=0.5944 QWK=0.6667
  blend2_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.40_svr_tumor_PCA12_C2_e0.4: adj=0.7578 LOO_r=0.7650 IS_r=0.9293 gap=0.1643 F1=0.5988 QWK=0.6000
