Round 16 Details
================================================================================

Approach: LOO-safe PC selection from musk_gland + musk_tumor PCA(20) + gland_frac
Models: Ridge, ElasticNet only (per human instructions)
PC selection: inside each LOO fold, select top-k PCs by |pearsonr(PC, y_train)|.

Best model: ridge_a10_gPC4_tPC6_interp0
Description: Ridge(a=10) gPC(4)+tPC(6)+interp(0) [f=10]
LOO Pearson r: 0.8033
IS Pearson r: 0.9047
Gap: 0.1014
Adjusted: 0.8033

All configurations (sorted by adjusted):
  ridge_a10_gPC4_tPC6_interp0: adj=0.8033 LOO_r=0.8033 IS_r=0.9047 gap=0.1014 F1=0.5700 QWK=0.5806
  ridge_a5_gPC4_tPC6_interp0: adj=0.8008 LOO_r=0.8008 IS_r=0.9086 gap=0.1078 F1=0.6071 QWK=0.6842
  ridge_a20_gPC4_tPC6_interp0: adj=0.7995 LOO_r=0.7995 IS_r=0.8987 gap=0.0992 F1=0.5333 QWK=0.5333
  ridge_a10_gPC4_tPC6_interp1: adj=0.7943 LOO_r=0.7943 IS_r=0.9031 gap=0.1088 F1=0.6727 QWK=0.7059
  ridge_a5_gPC4_tPC6_interp1: adj=0.7926 LOO_r=0.7926 IS_r=0.9085 gap=0.1159 F1=0.6071 QWK=0.6842
  ridge_a2_gPC4_tPC6_interp0: adj=0.7912 LOO_r=0.7912 IS_r=0.9111 gap=0.1200 F1=0.6961 QWK=0.7805
  enet_a0.1_l10.1_gPC4_tPC6_interp0: adj=0.7895 LOO_r=0.7895 IS_r=0.9095 gap=0.1200 F1=0.6077 QWK=0.6842
  enet_a0.1_l10.1_gPC4_tPC6_interp1: adj=0.7877 LOO_r=0.7877 IS_r=0.9095 gap=0.1218 F1=0.6077 QWK=0.6842
  ridge_a20_gPC4_tPC6_interp1: adj=0.7871 LOO_r=0.7871 IS_r=0.8944 gap=0.1073 F1=0.5191 QWK=0.5000
  ridge_a2_gPC4_tPC6_interp1: adj=0.7846 LOO_r=0.7846 IS_r=0.9122 gap=0.1276 F1=0.6377 QWK=0.7179
  enet_a0.05_l10.1_gPC4_tPC6_interp0: adj=0.7835 LOO_r=0.7835 IS_r=0.9111 gap=0.1277 F1=0.6359 QWK=0.7179
  ridge_a1_gPC4_tPC6_interp0: adj=0.7815 LOO_r=0.7815 IS_r=0.9117 gap=0.1303 F1=0.6667 QWK=0.7500
  ridge_a0.5_gPC4_tPC6_interp0: adj=0.7763 LOO_r=0.7763 IS_r=0.9120 gap=0.1357 F1=0.6667 QWK=0.7500
  enet_a0.05_l10.3_gPC4_tPC6_interp0: adj=0.7760 LOO_r=0.7760 IS_r=0.9102 gap=0.1342 F1=0.6077 QWK=0.6842
  ridge_a1_gPC4_tPC6_interp1: adj=0.7759 LOO_r=0.7759 IS_r=0.9132 gap=0.1373 F1=0.6012 QWK=0.7000
  ridge_a0.1_gPC4_tPC6_interp0: adj=0.7758 LOO_r=0.7758 IS_r=0.9121 gap=0.1363 F1=0.6667 QWK=0.7500
  enet_a0.05_l10.1_gPC4_tPC6_interp1: adj=0.7757 LOO_r=0.7757 IS_r=0.9122 gap=0.1365 F1=0.6077 QWK=0.6842
  ridge_a0.01_gPC4_tPC6_interp0: adj=0.7757 LOO_r=0.7757 IS_r=0.9121 gap=0.1365 F1=0.6667 QWK=0.7500
  enet_a0.01_l10.1_gPC4_tPC6_interp0: adj=0.7749 LOO_r=0.7749 IS_r=0.9120 gap=0.1370 F1=0.6667 QWK=0.7500
