Round 19 Details
================================================================================

Approach: Increased tumor PCA to 29 components
  Systematic sweep: tPC x gPC x interpretable features x Ridge alpha
  Key test: dropping gf (Config C) to see if D8-A27N error is fixed
  musk_tumor PCA→29, musk_gland PCA→20
  LOO-safe PC selection, ONE Ridge model

Best model: A_tPC8_gPC3_gf_git_bgit_a1.5
Description: Ridge(a=1.5) tPC(8)+gPC(3)+gf_git_bgit [f=14]
LOO Pearson r: 0.9226
IS Pearson r: 0.9840
Gap: 0.0614
Adjusted: 0.9226

Feature correlations:
  gf: r=-0.4148
  git: r=-0.5571
  bgit: r=-0.1272

All configurations (310 total, sorted by adjusted):
  A_tPC8_gPC3_gf_git_bgit_a1.5: adj=0.9226 LOO_r=0.9226 IS_r=0.9840 gap=0.0614 F1=0.8997 QWK=0.9231
  B_tPC8_gPC3_gf_git_bgit_a1.5: adj=0.9226 LOO_r=0.9226 IS_r=0.9840 gap=0.0614 F1=0.8997 QWK=0.9231
  A_tPC8_gPC3_gf_git_bgit_a1.0: adj=0.9226 LOO_r=0.9226 IS_r=0.9849 gap=0.0623 F1=0.8997 QWK=0.9231
  B_tPC8_gPC3_gf_git_bgit_a1.0: adj=0.9226 LOO_r=0.9226 IS_r=0.9849 gap=0.0623 F1=0.8997 QWK=0.9231
  A_tPC8_gPC3_gf_git_bgit_a0.5: adj=0.9216 LOO_r=0.9216 IS_r=0.9857 gap=0.0641 F1=0.8997 QWK=0.9231
  B_tPC8_gPC3_gf_git_bgit_a0.5: adj=0.9216 LOO_r=0.9216 IS_r=0.9857 gap=0.0641 F1=0.8997 QWK=0.9231
  B_tPC8_gPC4_gf_git_bgit_a1.5: adj=0.9209 LOO_r=0.9209 IS_r=0.9838 gap=0.0629 F1=0.8997 QWK=0.9231
  A_tPC10_gPC3_gf_git_bgit_a1.5: adj=0.9208 LOO_r=0.9208 IS_r=0.9898 gap=0.0690 F1=0.8027 QWK=0.8235
  B_tPC10_gPC3_gf_git_bgit_a1.5: adj=0.9208 LOO_r=0.9208 IS_r=0.9898 gap=0.0690 F1=0.8027 QWK=0.8235
  D_tPC10_gPC3_gf_git_bgit_a1.5: adj=0.9208 LOO_r=0.9208 IS_r=0.9898 gap=0.0690 F1=0.8027 QWK=0.8235
  A_tPC10_gPC3_gf_git_bgit_a1.0: adj=0.9205 LOO_r=0.9205 IS_r=0.9905 gap=0.0699 F1=0.8375 QWK=0.8571
  B_tPC10_gPC3_gf_git_bgit_a1.0: adj=0.9205 LOO_r=0.9205 IS_r=0.9905 gap=0.0699 F1=0.8375 QWK=0.8571
  D_tPC10_gPC3_gf_git_bgit_a1.0: adj=0.9205 LOO_r=0.9205 IS_r=0.9905 gap=0.0699 F1=0.8375 QWK=0.8571
  B_tPC8_gPC4_gf_git_bgit_a1.0: adj=0.9202 LOO_r=0.9202 IS_r=0.9847 gap=0.0645 F1=0.8997 QWK=0.9231
  D_tPC10_gPC3_gf_git_bgit_a2.0: adj=0.9201 LOO_r=0.9201 IS_r=0.9891 gap=0.0690 F1=0.8027 QWK=0.8235
  A_tPC9_gPC3_gf_git_bgit_a1.0: adj=0.9199 LOO_r=0.9199 IS_r=0.9860 gap=0.0660 F1=0.8056 QWK=0.8333
  B_tPC9_gPC3_gf_git_bgit_a1.0: adj=0.9199 LOO_r=0.9199 IS_r=0.9860 gap=0.0660 F1=0.8056 QWK=0.8333
