Round 6 Details
================================================================================

Best model: E_PCA20_Ridge_a50
Description: gland emb PCA(20) + Ridge(a=50)
LOO Pearson r: 0.6469
IS Pearson r: 0.9441
Gap: 0.2972
Adjusted: 0.5733

Best at various gap thresholds:
  gap<=0.30: E_PCA20_Ridge_a50 LOO_r=0.6469 gap=0.2972 adj=0.5733

All configurations (sorted by adjusted):
  E_PCA20_Ridge_a50: adj=0.5733 LOO_r=0.6469 IS_r=0.9441 gap=0.2972 F1=0.5700 QWK=0.5806
  D_PCA3_Ridge_a0.1: adj=0.1903 LOO_r=0.2449 IS_r=0.5040 gap=0.2591 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a0.5: adj=0.1902 LOO_r=0.2448 IS_r=0.5040 gap=0.2592 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a1: adj=0.1902 LOO_r=0.2448 IS_r=0.5040 gap=0.2592 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a3: adj=0.1901 LOO_r=0.2447 IS_r=0.5040 gap=0.2593 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a5: adj=0.1900 LOO_r=0.2447 IS_r=0.5040 gap=0.2593 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a10: adj=0.1898 LOO_r=0.2445 IS_r=0.5040 gap=0.2595 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a20: adj=0.1893 LOO_r=0.2441 IS_r=0.5039 gap=0.2597 F1=0.2315 QWK=0.0952
  D_PCA3_Ridge_a50: adj=0.1880 LOO_r=0.2432 IS_r=0.5038 gap=0.2605 F1=0.2315 QWK=0.0952
  D_PCA4_Ridge_a0.1: adj=0.1864 LOO_r=0.2418 IS_r=0.5027 gap=0.2609 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a1: adj=0.1862 LOO_r=0.2417 IS_r=0.5027 gap=0.2610 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a3: adj=0.1861 LOO_r=0.2417 IS_r=0.5027 gap=0.2610 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a0.5: adj=0.1861 LOO_r=0.2416 IS_r=0.5027 gap=0.2611 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a5: adj=0.1861 LOO_r=0.2416 IS_r=0.5027 gap=0.2611 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a10: adj=0.1856 LOO_r=0.2413 IS_r=0.5026 gap=0.2613 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a20: adj=0.1852 LOO_r=0.2410 IS_r=0.5026 gap=0.2616 F1=0.2967 QWK=0.1818
  D_PCA4_Ridge_a50: adj=0.1841 LOO_r=0.2402 IS_r=0.5024 gap=0.2622 F1=0.2315 QWK=0.0952
  A_PCA5_Ridge_a1: adj=-1.0000 LOO_r=0.1383 IS_r=0.5308 gap=0.3925 F1=0.3519 QWK=0.1667
