round,loo_r,is_r,gap,adjusted
1,0.436659956669486,0.6498,0.2132,0.4051
2,0.6573136632824186,0.9466,0.2893,0.5877
3,0.3043895847431426,0.4157,0.1113,0.3044
4,0.3043895847431426,0.4157,0.1113,0.3044
5,0.6573292691377587,0.9466,0.2893,0.5877
6,0.646918181795604,0.9441,0.2972,0.5733
7,0.6571154277678503,0.9466,0.2895,0.5874
8,0.6571154667466966,0.9466,0.2895,0.5874
9,0.6571156163349723,0.9466,0.2895,0.5874
10,0.6571155344096766,0.9466,0.2895,0.5874
11,0.6750160168543938,0.943,0.268,0.616
12,0.674966284661598,0.943,0.268,0.616
13,0.674930404892458,0.943,0.268,0.6159
14,0.7443724462551977,0.9045,0.1601,0.7393
15,0.7585436590354931,0.8933,0.1347,0.7585
16,0.8032972176526507,0.9047,0.1014,0.8033
17,0.922602192662656,0.9849,0.0623,0.9226
18,0.9226055289785192,0.984,0.0614,0.9226
19,0.922605536987266,0.984,0.0614,0.9226
20,0.9226057462902352,0.984,0.0614,0.9226
