plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",LLaVA-Med,accuracy (Atelectasis),full_cohort,25596,2797,25596,1,0.1327,n.a. one run,0.1284,0.1368,0.1239,0.1417
2,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",GPT-4o-agent,accuracy (Atelectasis),full_cohort,25596,2797,2700,1,0.0897,n.a. one run,0.0861,0.0932,0.0694,0.1117
3,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",GPT-4o-agent,"accuracy, answered subset (Atelectasis)",answered,25596,2797,2700,1,0.85,n.a. one run,,,,
4,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",GPT-4o-vision,accuracy (Atelectasis),full_cohort,25596,2797,25596,1,0.8378,n.a. one run,0.8333,0.8423,0.8274,0.8478
5,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",GPT-5.4-vision,accuracy (Atelectasis),full_cohort,25596,2797,25596,1,0.6704,n.a. one run,0.6644,0.6762,0.6512,0.6901
6,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",TLAgent,accuracy (Atelectasis),full_cohort,25596,2797,25596,1,0.8758,n.a. one run,0.8717,0.8799,0.867,0.8844
7,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",LLaVA-Med,accuracy (Cardiomegaly),full_cohort,25596,2797,25596,1,0.0471,n.a. one run,0.0445,0.0497,0.0403,0.0545
8,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",GPT-4o-agent,accuracy (Cardiomegaly),full_cohort,25596,2797,2700,1,0.0877,n.a. one run,0.0842,0.0912,0.0675,0.1095
9,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",GPT-4o-agent,"accuracy, answered subset (Cardiomegaly)",answered,25596,2797,2700,1,0.8311,n.a. one run,,,,
10,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",GPT-4o-vision,accuracy (Cardiomegaly),full_cohort,25596,2797,25596,1,0.4149,n.a. one run,0.4089,0.421,0.3945,0.4357
11,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",GPT-5.4-vision,accuracy (Cardiomegaly),full_cohort,25596,2797,25596,1,0.8602,n.a. one run,0.8559,0.8644,0.8429,0.8761
12,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",TLAgent,accuracy (Cardiomegaly),full_cohort,25596,2797,25596,1,0.96,n.a. one run,0.9576,0.9624,0.9531,0.9664
13,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",LLaVA-Med,accuracy (Consolidation),full_cohort,25596,2797,25596,1,0.6736,n.a. one run,0.6678,0.6792,0.6605,0.6866
14,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",GPT-4o-agent,accuracy (Consolidation),full_cohort,25596,2797,2700,1,0.0909,n.a. one run,0.0874,0.0944,0.0708,0.1129
15,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",GPT-4o-agent,"accuracy, answered subset (Consolidation)",answered,25596,2797,2700,1,0.8619,n.a. one run,,,,
16,Extended Data 3b,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",GPT-4o-vision,accuracy (Consolidation),full_cohort,25596,2797,25596,1,0.6987,n.a. one run,0.6931,0.7046,0.6817,0.7162
