plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",Before co-evolution,AUC (Atelectasis),full_cohort,25596,2797,25596,1,0.7098,n.a. one run,0.7,0.719,0.6954,0.7236
2,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Atelectasis",After co-evolution,AUC (Atelectasis),full_cohort,25596,2797,25596,1,0.8058,n.a. one run,0.7981,0.8138,0.7946,0.8171
3,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",Before co-evolution,AUC (Cardiomegaly),full_cohort,25596,2797,25596,1,0.8369,n.a. one run,0.8247,0.8485,0.8149,0.8554
4,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Cardiomegaly",After co-evolution,AUC (Cardiomegaly),full_cohort,25596,2797,25596,1,0.9012,n.a. one run,0.8913,0.9103,0.8855,0.9143
5,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Effusion",Before co-evolution,AUC (Effusion),full_cohort,25596,2797,25596,1,0.7918,n.a. one run,0.7856,0.7983,0.7784,0.8057
6,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Effusion",After co-evolution,AUC (Effusion),full_cohort,25596,2797,25596,1,0.8449,n.a. one run,0.839,0.8506,0.8351,0.8544
7,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Infiltration",Before co-evolution,AUC (Infiltration),full_cohort,25596,2797,25596,1,0.6955,n.a. one run,0.6888,0.7031,0.6844,0.706
8,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Infiltration",After co-evolution,AUC (Infiltration),full_cohort,25596,2797,25596,1,0.7136,n.a. one run,0.7068,0.721,0.7031,0.7238
9,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Mass",Before co-evolution,AUC (Mass),full_cohort,25596,2797,25596,1,0.6265,n.a. one run,0.6142,0.639,0.5973,0.6543
10,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Mass",After co-evolution,AUC (Mass),full_cohort,25596,2797,25596,1,0.8525,n.a. one run,0.8433,0.8617,0.8364,0.8692
11,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Nodule",Before co-evolution,AUC (Nodule),full_cohort,25596,2797,25596,1,0.6126,n.a. one run,0.5976,0.6264,0.5867,0.6407
12,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Nodule",After co-evolution,AUC (Nodule),full_cohort,25596,2797,25596,1,0.8139,n.a. one run,0.8025,0.8249,0.7963,0.8286
13,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pneumonia",Before co-evolution,AUC (Pneumonia),full_cohort,25596,2797,25596,1,0.6856,n.a. one run,0.6662,0.7066,0.6607,0.7092
14,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pneumonia",After co-evolution,AUC (Pneumonia),full_cohort,25596,2797,25596,1,0.7574,n.a. one run,0.7369,0.7763,0.7356,0.7802
15,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pneumothorax",Before co-evolution,AUC (Pneumothorax),full_cohort,25596,2797,25596,1,0.7636,n.a. one run,0.7542,0.7727,0.7404,0.7873
16,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pneumothorax",After co-evolution,AUC (Pneumothorax),full_cohort,25596,2797,25596,1,0.9224,n.a. one run,0.9176,0.9268,0.9142,0.93
17,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",Before co-evolution,AUC (Consolidation),full_cohort,25596,2797,25596,1,0.6965,n.a. one run,0.6865,0.7078,0.6798,0.7117
18,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Consolidation",After co-evolution,AUC (Consolidation),full_cohort,25596,2797,25596,1,0.7689,n.a. one run,0.7575,0.7785,0.7536,0.7835
19,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Edema",Before co-evolution,AUC (Edema),full_cohort,25596,2797,25596,1,0.8208,n.a. one run,0.8083,0.8321,0.802,0.8386
20,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Edema",After co-evolution,AUC (Edema),full_cohort,25596,2797,25596,1,0.8695,n.a. one run,0.8594,0.8801,0.8545,0.8846
21,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Emphysema",Before co-evolution,AUC (Emphysema),full_cohort,25596,2797,25596,1,0.5676,n.a. one run,0.5524,0.5831,0.5345,0.5985
22,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Emphysema",After co-evolution,AUC (Emphysema),full_cohort,25596,2797,25596,1,0.928,n.a. one run,0.9207,0.9349,0.9175,0.9374
23,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Fibrosis",Before co-evolution,AUC (Fibrosis),full_cohort,25596,2797,25596,1,0.5643,n.a. one run,0.537,0.5913,0.5182,0.6106
24,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Fibrosis",After co-evolution,AUC (Fibrosis),full_cohort,25596,2797,25596,1,0.8502,n.a. one run,0.8324,0.8672,0.8284,0.871
25,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pleural_Thickening",Before co-evolution,AUC (Pleural_Thickening),full_cohort,25596,2797,25596,1,0.6893,n.a. one run,0.6721,0.7051,0.6653,0.7134
26,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Pleural_Thickening",After co-evolution,AUC (Pleural_Thickening),full_cohort,25596,2797,25596,1,0.8048,n.a. one run,0.7926,0.8173,0.7864,0.821
27,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Hernia",Before co-evolution,AUC (Hernia),full_cohort,25596,2797,25596,1,0.6818,n.a. one run,0.628,0.7405,0.5731,0.7745
28,Extended Data 3c,Thoracic disease detection,"NIH ChestX-ray14, Hernia",After co-evolution,AUC (Hernia),full_cohort,25596,2797,25596,1,0.8825,n.a. one run,0.845,0.9153,0.8303,0.9281
