plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 1 selected,LOO pearson,answered,30,30,30,1,0.3044,0.0,,,,
1,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 1 selected,test pearson,answered,30,30,30,1,0.2686,0.0,,,,
2,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 2 selected,LOO pearson,answered,30,30,30,1,0.4358,0.0,,,,
2,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 2 selected,test pearson,answered,30,30,30,1,0.461,0.0,,,,
3,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 3 selected,LOO pearson,answered,30,30,30,1,0.4455,0.0,,,,
3,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 3 selected,test pearson,answered,30,30,30,1,0.2898,0.0,,,,
4,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 4 selected,LOO pearson,answered,30,30,30,1,0.4527,0.0,,,,
4,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 4 selected,test pearson,answered,30,30,30,1,0.5425,0.0,,,,
5,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 5 selected,LOO pearson,answered,30,30,30,1,0.4435,0.0,,,,
5,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 5 selected,test pearson,answered,30,30,30,1,0.2898,0.0,,,,
6,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 6 selected,LOO pearson,answered,30,30,30,1,0.4435,0.0,,,,
6,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 6 selected,test pearson,answered,30,30,30,1,0.2898,0.0,,,,
7,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 7 selected,LOO pearson,answered,30,30,30,1,0.4435,0.0,,,,
7,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 7 selected,test pearson,answered,30,30,30,1,0.2898,0.0,,,,
8,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 8 selected,LOO pearson,answered,30,30,30,1,0.6704,0.0,,,,
8,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 8 selected,test pearson,answered,30,30,30,1,0.5991,0.0,,,,
9,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 9 selected,LOO pearson,answered,30,30,30,1,0.7051,0.0,,,,
9,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 9 selected,test pearson,answered,30,30,30,1,0.5818,0.0,,,,
10,Extended Data 4a,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 10 selected,LOO pearson,answered,30,30,30,1,0.7188,0.0,,,,
