plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 1",train_loss,answered,30,30,30,5,0.6731261253356934,0.028932961316798064,,,,
2,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 2",train_loss,answered,30,30,30,5,1.3193241357803345,0.29974650807900266,,,,
3,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 3",train_loss,answered,30,30,30,5,0.7713407516479492,0.49415240987824294,,,,
4,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 4",train_loss,answered,30,30,30,5,0.6230355381965638,0.34636120708754825,,,,
5,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 5",train_loss,answered,30,30,30,5,0.491695773601532,0.12913754169412084,,,,
6,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 6",train_loss,answered,30,30,30,5,0.5537833869457245,0.17131752344156775,,,,
7,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 7",train_loss,answered,30,30,30,5,0.5087036788463593,0.1654671151838841,,,,
8,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 8",train_loss,answered,30,30,30,5,0.5032168328762054,0.1527807738403217,,,,
9,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 9",train_loss,answered,30,30,30,5,0.4885766267776489,0.16037827683330824,,,,
10,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 10",train_loss,answered,30,30,30,5,0.5043982267379761,0.14734518229877847,,,,
11,Extended Data 4c,"Tubule formation grading, baseline training dynamics","TCGA-BRCA training, 30 cases, 5-fold CV","TITAN-LinearProbe, epoch 11",train_loss,answered,30,30,30,5,0.5032583236694336,0.15007670231032194,,,,
