plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 1",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.6129249999999999,0.011571048641617006,,,,
2,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 2",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.55766,0.025175841594671667,,,,
3,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 3",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.5803200000000001,0.047421693348087,,,,
4,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 4",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.57966,0.030951058140231674,,,,
5,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 5",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.57332,0.030047662138675615,,,,
6,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 6",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.6086600000000001,0.057523238782252184,,,,
7,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 7",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.64666,0.05313636231433233,,,,
8,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 8",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.66032,0.06712497299813235,,,,
9,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 9",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.65534,0.06506168611402564,,,,
10,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 10",LOO macro-AUC (triangular kernel),answered,30,30,30,5,0.67932,0.06337043474681232,,,,
11,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 11",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.6983499999999999,0.04539049092779971,,,,
12,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 12",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.6954,0.06584557692054947,,,,
13,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 13",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.70625,0.10470518930151773,,,,
14,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 14",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.7779,0.04865230381664025,,,,
15,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 15",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.7533249999999999,0.03602983717235851,,,,
16,Extended Data 4d,"Tubule formation grading, classifier ablation","TCGA-BRCA training, 30 cases (leave-one-out)","Suboptimal classifier, round 16",LOO macro-AUC (triangular kernel),answered,30,30,30,4,0.760425,0.02479884069871008,,,,
