plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",LLaVA-Med,answer,single specimen,1,1,0,5,no evaluable output,,,,,
2,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",MedGemma,answer,single specimen,1,1,0,5,no evaluable output,,,,,
3,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",Quilt-LLaVA,answer,single specimen,1,1,0,5,no evaluable output,,,,,
4,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-4o-vision,accuracy of the answer,single specimen,1,1,1,5,0.0022,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
5,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-4o-vision,answer (cells),single specimen,1,1,1,5,569.0,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
6,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-5-vision,accuracy of the answer,single specimen,1,1,4,5,0.0907,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
7,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-5-vision,answer (cells),single specimen,1,1,4,5,23759.5,40321.667,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
8,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-5.4-vision,accuracy of the answer,single specimen,1,1,5,5,0.5018,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
9,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-5.4-vision,answer (cells),single specimen,1,1,5,5,131413.2,67067.9736,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
10,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",GPT-4o-agent,answer,single specimen,1,1,0,5,no evaluable output,,,,,
11,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",MAM,accuracy of the answer,single specimen,1,1,5,5,0.0,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
12,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",MAM,answer (cells),single specimen,1,1,5,5,2.0,4.4721,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
13,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",NOVA,accuracy of the answer,single specimen,1,1,5,5,-12.804,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
14,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",NOVA,answer (cells),single specimen,1,1,5,5,3877233.0,8564815.6874,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
15,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",TLAgent-removing knowledge,accuracy of the answer,single specimen,1,1,5,5,0.0017,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
16,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",TLAgent-removing knowledge,answer (cells),single specimen,1,1,5,5,433.0,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
17,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",TLAgent,accuracy of the answer,single specimen,1,1,5,5,0.9693,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
18,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",TLAgent,answer (cells),single specimen,1,1,5,5,253870.0,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
19,"Extended Data 7a,b","Neoplastic cell quantification, cross platform","Xenium colon, one section",reference,reference (cells),single specimen,1,1,,,261905.0,,,,,
