plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",LLaVA-Med,answer,single specimen,1,1,0,5,no evaluable output,,,,,
2,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",MedGemma,accuracy of the answer,single specimen,1,1,5,5,0.1273,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
3,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",MedGemma,answer (per cent),single specimen,1,1,5,5,6.0,2.2361,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
4,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",Quilt-LLaVA,accuracy of the answer,single specimen,1,1,5,5,0.2121,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
5,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",Quilt-LLaVA,answer (per cent),single specimen,1,1,5,5,10.0,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
6,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-4o-vision,answer,single specimen,1,1,0,5,no evaluable output,,,,,
7,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-5-vision,accuracy of the answer,single specimen,1,1,5,5,0.3818,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
8,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-5-vision,answer (per cent),single specimen,1,1,5,5,18.0,5.7009,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
9,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-5.4-vision,accuracy of the answer,single specimen,1,1,5,5,0.1858,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
10,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-5.4-vision,answer (per cent),single specimen,1,1,5,5,8.76,0.251,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
11,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",GPT-4o-agent,answer,single specimen,1,1,0,5,no evaluable output,,,,,
12,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",MAM,accuracy of the answer,single specimen,1,1,4,5,0.0016,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
13,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",MAM,answer (per cent),single specimen,1,1,4,5,0.075,0.0957,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
14,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",NOVA,accuracy of the answer,single specimen,1,1,5,5,0.0576,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
15,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",NOVA,answer (per cent),single specimen,1,1,5,5,2.714,1.5058,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
16,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",TLAgent-removing knowledge,accuracy of the answer,single specimen,1,1,5,5,0.0,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
17,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",TLAgent-removing knowledge,answer (per cent),single specimen,1,1,5,5,0.0,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
18,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",TLAgent,accuracy of the answer,single specimen,1,1,5,5,0.8927,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
19,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",TLAgent,answer (per cent),single specimen,1,1,5,5,42.09,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
20,"Extended Data 7d,e","Normal duct cell proportion, cross platform","Xenium prostate, one section",reference,reference (per cent),single specimen,1,1,,,47.15,,,,,
