plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",LLaVA-Med,pearson,answered,65,63,0,5,no evaluable output,,,,,
2,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",LLaVA-Med,MAE,answered,65,63,0,5,no evaluable output,,,,,
3,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",LLaVA-Med,RMSE,answered,65,63,0,5,no evaluable output,,,,,
4,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",MedGemma,pearson,answered,65,63,63,5,0.0075,0.0321,-0.1298,0.1513,-0.1345,0.1574
5,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",MedGemma,MAE,answered,65,63,63,5,7.4746,0.0661,6.3427,8.6507,6.3334,8.6692
6,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",MedGemma,RMSE,answered,65,63,63,5,8.8688,0.0505,7.6153,10.089,7.5891,10.1054
7,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",Quilt-LLaVA,pearson,answered,65,63,65,5,-0.0322,0.0596,-0.1659,0.1057,-0.1606,0.1023
8,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",Quilt-LLaVA,MAE,answered,65,63,65,5,5.4014,0.197,4.701,6.1643,4.7082,6.1434
9,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",Quilt-LLaVA,RMSE,answered,65,63,65,5,6.7834,0.3019,5.87,7.7226,5.8777,7.6957
10,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",GPT-4o-vision,pearson,answered,65,63,26,5,-0.092,0.155,-0.2456,0.0776,-0.2495,0.0796
11,"Extended Data 7g,h,i","Depth of invasion, external","TCGA-COAD, 65 evaluable slides",GPT-4o-vision,MAE,answered,65,63,26,5,8.2068,0.8099,6.9567,9.4856,7.01,9.4722
