plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",LLaVA-Med,pearson,answered,321,22,0,5,no evaluable output,,,,,
2,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",MedGemma,pearson,answered,321,22,296,5,-0.0926,0.0,-0.1547,-0.0262,-0.1513,-0.0291
3,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",Quilt-LLaVA,pearson,answered,321,22,310,5,0.0332,0.042,-0.0404,0.1228,-0.043,0.1224
4,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",GPT-4o-vision,pearson,answered,321,22,320,5,0.0727,0.0218,-0.0215,0.1685,-0.0275,0.1806
5,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",GPT-5-vision,pearson,answered,321,22,321,5,0.1153,0.0269,0.0137,0.22,-0.0235,0.2571
6,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",GPT-5.4-vision,pearson,answered,321,22,321,5,0.1589,0.0261,0.0463,0.2707,0.0488,0.2839
7,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",GPT-4o-agent,pearson,answered,321,22,242,5,-0.0209,0.0349,-0.0598,0.0154,-0.0647,0.0315
8,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",MAM,pearson,answered,321,22,316,5,-0.0078,0.0425,-0.0191,0.1159,-0.0207,0.0981
9,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",NOVA,pearson,answered,321,22,321,5,0.0153,0.0427,-0.0134,0.0544,-0.0118,0.0496
10,Figure 2i,Positive lymph node counting,"LNCO2, 321 slides",TLAgent,pearson,answered,321,22,321,5,0.7412,0.0,0.6274,0.8562,0.6379,0.8606
