plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",0 min,predicted tumour cell count,single specimen,1,1,1,1,0.0,,,,,
2,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",0 min,accuracy of the answer,single specimen,1,1,1,1,0.0,,,,,
3,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",5 min,predicted tumour cell count,single specimen,1,1,1,1,100258.0,,,,,
4,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",5 min,accuracy of the answer,single specimen,1,1,1,1,0.821,,,,,
5,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",10 min,predicted tumour cell count,single specimen,1,1,1,1,103582.0,,,,,
6,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",10 min,accuracy of the answer,single specimen,1,1,1,1,0.782,,,,,
7,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",15 min,predicted tumour cell count,single specimen,1,1,1,1,105237.0,,,,,
8,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",15 min,accuracy of the answer,single specimen,1,1,1,1,0.762,,,,,
9,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",20 min,predicted tumour cell count,single specimen,1,1,1,1,103452.0,,,,,
10,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",20 min,accuracy of the answer,single specimen,1,1,1,1,0.783,,,,,
11,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",25 min,predicted tumour cell count,single specimen,1,1,1,1,92256.0,,,,,
12,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",25 min,accuracy of the answer,single specimen,1,1,1,1,0.915,,,,,
13,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",30 min,predicted tumour cell count,single specimen,1,1,1,1,89379.0,,,,,
14,Figure 5c,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",30 min,accuracy of the answer,single specimen,1,1,1,1,0.949,,,,,
15,Figure 5b,"Neoplastic cell quantification, active learning over time","Visium HD colon, one section",reference,reference (cells),single specimen,1,1,1,1,85014.0,,,,,
