plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",LLaVA-Med,answer,single specimen,1,1,0,5,no evaluable output,,,,,
2,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",MedGemma,answer,single specimen,1,1,0,5,no evaluable output,,,,,
3,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",Quilt-LLaVA,accuracy of the answer,single specimen,1,1,3,5,0.0746,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
4,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",Quilt-LLaVA,answer (per cent),single specimen,1,1,3,5,4.1338,6.8153,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
5,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-4o-vision,accuracy of the answer,single specimen,1,1,5,5,0.9595,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
6,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-4o-vision,answer (per cent),single specimen,1,1,5,5,2.06,0.6269,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
7,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-5-vision,accuracy of the answer,single specimen,1,1,4,5,0.8617,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
8,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-5-vision,answer (per cent),single specimen,1,1,4,5,1.85,2.1502,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
9,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-5.4-vision,accuracy of the answer,single specimen,1,1,5,5,0.1835,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
10,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-5.4-vision,answer (per cent),single specimen,1,1,5,5,3.9,1.7734,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
11,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-4o-agent,accuracy of the answer,single specimen,1,1,5,5,-inf,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
12,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",GPT-4o-agent,answer (per cent),single specimen,1,1,5,5,inf,nan,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
13,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",MAM,accuracy of the answer,single specimen,1,1,5,5,0.7424,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
14,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",MAM,answer (per cent),single specimen,1,1,5,5,2.7,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
15,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",NOVA,accuracy of the answer,single specimen,1,1,5,5,0.6014,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
16,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",NOVA,answer (per cent),single specimen,1,1,5,5,1.2911,1.0915,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
17,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",TLAgent-removing knowledge,accuracy of the answer,single specimen,1,1,5,5,0.0326,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
18,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",TLAgent-removing knowledge,answer (per cent),single specimen,1,1,5,5,0.07,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
19,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",TLAgent,accuracy of the answer,single specimen,1,1,5,5,0.9981,,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
20,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",TLAgent,answer (per cent),single specimen,1,1,5,5,2.151,0.0,n.a. single specimen,n.a. single specimen,n.a. single specimen,n.a. single specimen
21,Figure 5g,Tumour to normal duct ratio,"Visium HD prostate, one section",reference,reference (per cent),single specimen,1,1,,,2.147,,,,,
