plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",0 min,accuracy of the answer,single specimen,1,1,1,1,0.0,,,,,
2,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",2 min,accuracy of the answer,single specimen,1,1,1,1,0.097,,,,,
3,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",4 min,accuracy of the answer,single specimen,1,1,1,1,0.422,,,,,
4,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",6 min,accuracy of the answer,single specimen,1,1,1,1,0.097,,,,,
5,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",8 min,accuracy of the answer,single specimen,1,1,1,1,0.059,,,,,
6,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",10 min,accuracy of the answer,single specimen,1,1,1,1,0.048,,,,,
7,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",12 min,accuracy of the answer,single specimen,1,1,1,1,0.039,,,,,
8,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",14 min,accuracy of the answer,single specimen,1,1,1,1,0.942,,,,,
9,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",16 min,accuracy of the answer,single specimen,1,1,1,1,0.732,,,,,
10,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",18 min,accuracy of the answer,single specimen,1,1,1,1,0.934,,,,,
11,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",20 min,accuracy of the answer,single specimen,1,1,1,1,0.87,,,,,
12,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",22 min,accuracy of the answer,single specimen,1,1,1,1,0.934,,,,,
13,Figure 5j,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",24 min,accuracy of the answer,single specimen,1,1,1,1,0.998,,,,,
14,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 0,tumour to normal duct ratio,single specimen,1,1,1,1,24.571,,,,,
15,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 0,absolute deviation from reference,single specimen,1,1,1,1,22.424,,,,,
16,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 1,tumour to normal duct ratio,single specimen,1,1,1,1,8.6,,,,,
17,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 1,absolute deviation from reference,single specimen,1,1,1,1,6.453,,,,,
18,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 2,tumour to normal duct ratio,single specimen,1,1,1,1,7.167,,,,,
19,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 2,absolute deviation from reference,single specimen,1,1,1,1,5.02,,,,,
20,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 3,tumour to normal duct ratio,single specimen,1,1,1,1,5.548,,,,,
21,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 3,absolute deviation from reference,single specimen,1,1,1,1,3.401,,,,,
22,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 4,tumour to normal duct ratio,single specimen,1,1,1,1,4.914,,,,,
23,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 4,absolute deviation from reference,single specimen,1,1,1,1,2.767,,,,,
24,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 5,tumour to normal duct ratio,single specimen,1,1,1,1,4.0,,,,,
25,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 5,absolute deviation from reference,single specimen,1,1,1,1,1.853,,,,,
26,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 6,tumour to normal duct ratio,single specimen,1,1,1,1,3.583,,,,,
27,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 6,absolute deviation from reference,single specimen,1,1,1,1,1.436,,,,,
28,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 7,tumour to normal duct ratio,single specimen,1,1,1,1,7.146,,,,,
29,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 7,absolute deviation from reference,single specimen,1,1,1,1,4.999,,,,,
30,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 8,tumour to normal duct ratio,single specimen,1,1,1,1,7.146,,,,,
31,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 8,absolute deviation from reference,single specimen,1,1,1,1,4.999,,,,,
32,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 9,tumour to normal duct ratio,single specimen,1,1,1,1,8.208,,,,,
33,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 9,absolute deviation from reference,single specimen,1,1,1,1,6.061,,,,,
34,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 10,tumour to normal duct ratio,single specimen,1,1,1,1,8.687,,,,,
35,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 10,absolute deviation from reference,single specimen,1,1,1,1,6.54,,,,,
36,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 11,tumour to normal duct ratio,single specimen,1,1,1,1,8.687,,,,,
37,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 11,absolute deviation from reference,single specimen,1,1,1,1,6.54,,,,,
38,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 12,tumour to normal duct ratio,single specimen,1,1,1,1,8.687,,,,,
39,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 12,absolute deviation from reference,single specimen,1,1,1,1,6.54,,,,,
40,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 13,tumour to normal duct ratio,single specimen,1,1,1,1,9.104,,,,,
41,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 13,absolute deviation from reference,single specimen,1,1,1,1,6.957,,,,,
42,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 14,tumour to normal duct ratio,single specimen,1,1,1,1,9.104,,,,,
43,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 14,absolute deviation from reference,single specimen,1,1,1,1,6.957,,,,,
44,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 15,tumour to normal duct ratio,single specimen,1,1,1,1,9.104,,,,,
45,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 15,absolute deviation from reference,single specimen,1,1,1,1,6.957,,,,,
46,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 16,tumour to normal duct ratio,single specimen,1,1,1,1,3.8,,,,,
47,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 16,absolute deviation from reference,single specimen,1,1,1,1,1.653,,,,,
48,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 17,tumour to normal duct ratio,single specimen,1,1,1,1,2.276,,,,,
49,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 17,absolute deviation from reference,single specimen,1,1,1,1,0.129,,,,,
50,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 18,tumour to normal duct ratio,single specimen,1,1,1,1,3.448,,,,,
51,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 18,absolute deviation from reference,single specimen,1,1,1,1,1.301,,,,,
52,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 19,tumour to normal duct ratio,single specimen,1,1,1,1,2.817,,,,,
53,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 19,absolute deviation from reference,single specimen,1,1,1,1,0.67,,,,,
54,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 20,tumour to normal duct ratio,single specimen,1,1,1,1,2.747,,,,,
55,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 20,absolute deviation from reference,single specimen,1,1,1,1,0.6,,,,,
56,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 21,tumour to normal duct ratio,single specimen,1,1,1,1,2.331,,,,,
57,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 21,absolute deviation from reference,single specimen,1,1,1,1,0.184,,,,,
58,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 22,tumour to normal duct ratio,single specimen,1,1,1,1,2.0,,,,,
59,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 22,absolute deviation from reference,single specimen,1,1,1,1,0.147,,,,,
60,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 23,tumour to normal duct ratio,single specimen,1,1,1,1,1.97,,,,,
61,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 23,absolute deviation from reference,single specimen,1,1,1,1,0.177,,,,,
62,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 24,tumour to normal duct ratio,single specimen,1,1,1,1,1.886,,,,,
63,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 24,absolute deviation from reference,single specimen,1,1,1,1,0.261,,,,,
64,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 25,tumour to normal duct ratio,single specimen,1,1,1,1,1.849,,,,,
65,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 25,absolute deviation from reference,single specimen,1,1,1,1,0.298,,,,,
66,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 26,tumour to normal duct ratio,single specimen,1,1,1,1,1.86,,,,,
67,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 26,absolute deviation from reference,single specimen,1,1,1,1,0.287,,,,,
68,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 27,tumour to normal duct ratio,single specimen,1,1,1,1,2.0,,,,,
69,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 27,absolute deviation from reference,single specimen,1,1,1,1,0.147,,,,,
70,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 28,tumour to normal duct ratio,single specimen,1,1,1,1,2.142,,,,,
71,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 28,absolute deviation from reference,single specimen,1,1,1,1,0.005,,,,,
72,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 29,tumour to normal duct ratio,single specimen,1,1,1,1,2.151,,,,,
73,Figure 5l,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",time point 29,absolute deviation from reference,single specimen,1,1,1,1,0.004,,,,,
74,Figure 5k,"Tumour to normal duct ratio, active learning over time","Visium HD prostate, one section",reference,reference ratio,single specimen,1,1,1,1,2.147,,,,,
