plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,accuracy,full_cohort,321,22,301,5,0.0897,0.0081,0.0617,0.1196,0.0348,0.1594
2,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,accuracy,full_cohort,321,22,321,5,0.081,0.0,0.053,0.1121,0.0319,0.144
3,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",Quilt-LLaVA,accuracy,full_cohort,321,22,279,5,0.1364,0.0245,0.1134,0.1607,0.0981,0.1822
4,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",GPT-4o-vision,accuracy,full_cohort,321,22,321,5,0.1078,0.0057,0.0754,0.1414,0.0482,0.181
5,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",GPT-5-vision,accuracy,full_cohort,321,22,321,5,0.3788,0.0116,0.3352,0.4249,0.311,0.4557
6,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",GPT-5.4-vision,accuracy,full_cohort,321,22,321,5,0.7676,0.0098,0.7246,0.8087,0.6939,0.8346
7,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",GPT-4o-agent,accuracy,full_cohort,321,22,321,5,0.0866,0.006,0.0586,0.1165,0.0336,0.1523
8,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",MAM,accuracy,full_cohort,321,22,314,5,0.8243,0.0068,0.7888,0.8567,0.745,0.891
9,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",NOVA,accuracy,full_cohort,321,22,320,5,0.1271,0.0753,0.1053,0.1502,0.0946,0.1609
10,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",GPT-5.2-vision,accuracy,full_cohort,321,22,321,5,0.8791,0.0135,0.8449,0.9115,0.8252,0.9244
11,Figure 6b,Lymph node metastasis classification,"LNCO2, 321 slides",TLAgent,accuracy,full_cohort,321,22,321,5,0.9346,0.0,0.9065,0.9595,0.8931,0.9668
