plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,recall,full_cohort,321,22,,5,0.090,0.008,,,,
2,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,precision,full_cohort,321,22,,5,0.763,0.179,,,,
3,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,weighted F1,full_cohort,321,22,301,5,0.032,0.0098,0.0206,0.0463,0.0161,0.0652
4,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,accuracy,full_cohort,321,22,301,5,0.0897,0.0081,0.0617,0.1196,0.0348,0.1594
5,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",LLaVA-Med,correlation,answered,321,22,301,5,0.0003,0.0684,-0.048,0.0444,-0.0776,0.0541
6,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,recall,full_cohort,321,22,,5,0.081,0.000,,,,
7,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,precision,full_cohort,321,22,,5,0.894,0.000,,,,
8,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,weighted F1,full_cohort,321,22,321,5,0.0291,0.0,0.0119,0.052,0.0083,0.0646
9,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,accuracy,full_cohort,321,22,321,5,0.081,0.0,0.053,0.1121,0.0319,0.144
10,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",MedGemma,correlation,answered,321,22,321,5,0.1059,0.0,0.0157,0.1885,0.0404,0.1608
11,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",Quilt-LLaVA,recall,full_cohort,321,22,,5,0.136,0.024,,,,
12,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",Quilt-LLaVA,precision,full_cohort,321,22,,5,0.788,0.048,,,,
13,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",Quilt-LLaVA,weighted F1,full_cohort,321,22,279,5,0.1523,0.0339,0.1291,0.1763,0.1328,0.175
14,Figure 6d,Lymph node metastasis classification,"LNCO2, 321 slides",Quilt-LLaVA,accuracy,full_cohort,321,22,279,5,0.1364,0.0245,0.1134,0.1607,0.0981,0.1822
