plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 1 selected,LOO macro-AUC,answered,30,30,30,1,0.575,0.0,,,,
1,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 1 selected,test macro-AUC,answered,30,30,30,1,0.605,0.0,,,,
2,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 2 selected,LOO macro-AUC,answered,30,30,30,1,0.6267,0.0,,,,
2,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 2 selected,test macro-AUC,answered,30,30,30,1,0.6267,0.0,,,,
3,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 3 selected,LOO macro-AUC,answered,30,30,30,1,0.655,0.0,,,,
3,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 3 selected,test macro-AUC,answered,30,30,30,1,0.57,0.0,,,,
4,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 4 selected,LOO macro-AUC,answered,30,30,30,1,0.6567,0.0,,,,
4,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 4 selected,test macro-AUC,answered,30,30,30,1,0.8067,0.0,,,,
5,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 5 selected,LOO macro-AUC,answered,30,30,30,1,0.6583,0.0,,,,
5,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 5 selected,test macro-AUC,answered,30,30,30,1,0.57,0.0,,,,
6,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 6 selected,LOO macro-AUC,answered,30,30,30,1,0.6583,0.0,,,,
6,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 6 selected,test macro-AUC,answered,30,30,30,1,0.57,0.0,,,,
7,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 7 selected,LOO macro-AUC,answered,30,30,30,1,0.6583,0.0,,,,
7,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 7 selected,test macro-AUC,answered,30,30,30,1,0.57,0.0,,,,
8,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 8 selected,LOO macro-AUC,answered,30,30,30,1,0.7617,0.0,,,,
8,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 8 selected,test macro-AUC,answered,30,30,30,1,0.79,0.0,,,,
9,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 9 selected,LOO macro-AUC,answered,30,30,30,1,0.7917,0.0,,,,
9,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 9 selected,test macro-AUC,answered,30,30,30,1,0.7933,0.0,,,,
10,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 10 selected,LOO macro-AUC,answered,30,30,30,1,0.8117,0.0,,,,
10,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 10 selected,test macro-AUC,answered,30,30,30,1,0.8017,0.0,,,,
11,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 11 selected,LOO macro-AUC,answered,30,30,30,1,0.8167,0.0,,,,
11,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 11 selected,test macro-AUC,answered,30,30,30,1,0.8167,0.0,,,,
12,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 12 selected,LOO macro-AUC,answered,30,30,30,1,0.815,0.0,,,,
12,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 12 selected,test macro-AUC,answered,30,30,30,1,0.8167,0.0,,,,
13,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 13 selected,LOO macro-AUC,answered,30,30,30,1,0.815,0.0,,,,
13,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 13 selected,test macro-AUC,answered,30,30,30,1,0.8167,0.0,,,,
14,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 14 selected,LOO macro-AUC,answered,30,30,30,1,0.815,0.0,,,,
14,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 14 selected,test macro-AUC,answered,30,30,30,1,0.8167,0.0,,,,
15,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 15 selected,LOO macro-AUC,answered,30,30,30,1,0.835,0.0,,,,
15,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 15 selected,test macro-AUC,answered,30,30,30,1,0.8558,0.0,,,,
16,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 16 selected,LOO macro-AUC,answered,30,30,30,1,0.8567,0.0,,,,
16,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 16 selected,test macro-AUC,answered,30,30,30,1,0.8492,0.0,,,,
17,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 17 selected,LOO macro-AUC,answered,30,30,30,1,0.865,0.0,,,,
17,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 17 selected,test macro-AUC,answered,30,30,30,1,0.8533,0.0,,,,
18,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 18 selected,LOO macro-AUC,answered,30,30,30,1,0.87,0.0,,,,
18,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 18 selected,test macro-AUC,answered,30,30,30,1,0.8417,0.0,,,,
19,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 19 selected,LOO macro-AUC,answered,30,30,30,1,0.87,0.0,,,,
19,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 19 selected,test macro-AUC,answered,30,30,30,1,0.8417,0.0,,,,
20,Figure 7d,"Tubule formation grading, run 1 trajectory","TCGA-BRCA, 30 train (LOO) / 30 test",round 20 selected,LOO macro-AUC,answered,30,30,30,1,0.8633,0.0,,,,
