plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 1",pearson,answered,30,30,30,5,0.2646,0.0089,,,,
2,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 2",pearson,answered,30,30,30,5,0.3797,0.1637,,,,
3,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 3",pearson,answered,30,30,30,5,0.284,0.1571,,,,
4,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 4",pearson,answered,30,30,30,5,0.3149,0.2008,,,,
5,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 5",pearson,answered,30,30,30,5,0.3566,0.2196,,,,
6,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 6",pearson,answered,30,30,30,5,0.4471,0.1606,,,,
7,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 7",pearson,answered,30,30,30,5,0.3794,0.2147,,,,
8,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 8",pearson,answered,30,30,30,5,0.5139,0.2227,,,,
9,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 9",pearson,answered,30,30,30,5,0.5811,0.1163,,,,
10,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 10",pearson,answered,30,30,30,5,0.5712,0.0803,,,,
11,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 11",pearson,answered,30,30,30,5,0.6379,0.042,,,,
12,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 12",pearson,answered,30,30,30,5,0.6386,0.0407,,,,
13,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 13",pearson,answered,30,30,30,5,0.6386,0.0407,,,,
14,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 14",pearson,answered,30,30,30,5,0.612,0.0406,,,,
15,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 15",pearson,answered,30,30,30,5,0.6576,0.0513,,,,
16,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 16",pearson,answered,30,30,30,5,0.6444,0.0373,,,,
17,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 17",pearson,answered,30,30,30,5,0.6564,0.0317,,,,
18,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 18",pearson,answered,30,30,30,5,0.6603,0.0369,,,,
19,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 19",pearson,answered,30,30,30,5,0.6583,0.0379,,,,
20,Figure 7e,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 20",pearson,answered,30,30,30,5,0.6626,0.0397,,,,
