plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 1",MAE,answered,30,30,30,5,0.6649,0.0062,,,,
2,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 2",MAE,answered,30,30,30,5,0.6121,0.0946,,,,
3,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 3",MAE,answered,30,30,30,5,0.6553,0.0438,,,,
4,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 4",MAE,answered,30,30,30,5,0.6327,0.0779,,,,
5,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 5",MAE,answered,30,30,30,5,0.6119,0.1031,,,,
6,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 6",MAE,answered,30,30,30,5,0.6104,0.0501,,,,
7,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 7",MAE,answered,30,30,30,5,0.6095,0.1014,,,,
8,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 8",MAE,answered,30,30,30,5,0.5388,0.1137,,,,
9,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 9",MAE,answered,30,30,30,5,0.5067,0.0871,,,,
10,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 10",MAE,answered,30,30,30,5,0.5261,0.0851,,,,
11,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 11",MAE,answered,30,30,30,5,0.4823,0.0293,,,,
12,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 12",MAE,answered,30,30,30,5,0.4823,0.0301,,,,
13,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 13",MAE,answered,30,30,30,5,0.4823,0.0301,,,,
14,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 14",MAE,answered,30,30,30,5,0.5044,0.0559,,,,
15,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 15",MAE,answered,30,30,30,5,0.4836,0.0648,,,,
16,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 16",MAE,answered,30,30,30,5,0.4592,0.0354,,,,
17,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 17",MAE,answered,30,30,30,5,0.4414,0.0278,,,,
18,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 18",MAE,answered,30,30,30,5,0.4389,0.032,,,,
19,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 19",MAE,answered,30,30,30,5,0.44,0.0314,,,,
20,Figure 7g,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases","TissueLab, round 20",MAE,answered,30,30,30,5,0.4353,0.0371,,,,
